TOIMENPIDE,Lyhenne,Pitkä.nimi,Långt_namn,yhteensa
NE1CD,Lonkan ja lantion luiden erittäin laaja,Lonkan ja lantion luiden erittäin laaja tietokonetomografiatutkimus,"Bäckenskelett, mycket omfattande DT",20
NK4CG,Muun nivelen l.VKMT,Muun nivelen laaja magneettitutkimus,"Annan led, omfattande MR",20
NK6AT,Luukudosnäyte UÄ-ohj,Luun kudosnäytteen otto UÄ-ohjauksessa,"Ben, UL-styrd benbiopsi",20
ABB30,Kasvain/a-v malformdestruktio spinka,Selkäytimen ja hermojuurten paikallisen muutoksen tuhoaminen selkäydinkanavasta,Destruktion av tumör/förändring i spinalkanalen,19
CBN99,Muu luomen virheasennon korjaus,Muu luomen virheasennon korjaus,Operation för att korrigera syklodeviation (Harada-Ito),19
CGF35,Sarveiskalvon paikkaaminen siirteellä,Sarveiskalvon paikkaaminen siirteellä,Reparation av hornhinnan med transplantat,19
CGG45,"Sarveiskalvon siirto,homografti",Sarveiskalvon siirto vainajan kudosta käyttäen,Hornhinnetransplantation med homograft,19
DMW99,Muu poskionteloiden leikkaus,Muu poskionteloiden leikkaus,Annan operation på sinus maxillaris och överkäken,19
DNB30,Seulalokeromuutos/ kasvainpoisto,Seulalokeromuutoksen tai kasvaimen poisto,Exstirpation av lokal förändring i sinus ethmoidalis,19
GAW96,Muu rintaontelo/keuhpussi/pallealeikka,"Muu rintaontelon seinämän, keuhkopussin tai pallean leikkaus","Annan transtorakal operation på bröstvägg, pleura och diafragma",19
H0140,,,,19
H0314,,,,19
H0369,,,,19
H0458,,,,19
H0462,,,,19
H0500,,,,19
H0503,,,,19
H0511,,,,19
H0632,,,,19
H0644,,,,19
JAA96,Muu vatsan seinämämuutoksen poisto/biops,Muu vatsan seinämän muutoksen poisto tai koepala,Annan öppen operation biopsi/excision från bukväggen,19
JAC30,Reisityrän korjaus keinoaineella,Reisityrän korjaus keinoaineella,Radikaloperation av femoralbråck med implantation av främmande material,19
JF2JB,Kolontransit tutkim,Paksusuolen läpikulun tutkimus (kolontransit),"Kolon, transitundersökning",19
JGB40,"Kolektomian jälk peräsuolipoisto,ileosto","Peräsuolen poisto, ohutsuoliavanteen teko, paksusuoli poistettu aikaisemmin",Rectumexstirpation och ileostomi efter tidigare kolektomi med ileorektal anastomos,19
K190,,,,19
LCH13,Kohdun imutyhjennys lääkeAAP:n jälkeen,Kohdun tyhjennys imulla tai kaavinnalla lääkkeellisen keskeytyksen jälkeen,Exeres med vakuumaspiration eller curettage efter farmakologisk abort,19
MBB30,Kohdunsisäinen lääkehuuhtelu,Kohdunsisäinen lääkehuuhtelu,Intrauterin sköljning med medicin,19
MBW96,Muu  leikkaus synnytyksen/AAP jälkeen,Muu synnytyksen tai raskaudenkeskeytyksen jälkeinen leikkaus,Annat operation efter förlossning eller abort,19
NDT20,Vaikean käsiepämuodostuman korjaus,Vaikean käsiepämuodostuman korjausleikkaus,Rekonstruktion vid höggradig handmalformation,19
PB1AE,Yläraajan valtimot UÄ,Yläraajan valtimoiden ultraäänitutkimus,"Artärer i övre extremitet, UL",19
PD3ZT,Lantiovaltimon hoito stenttigraftilla,Lantiovaltimon hoito stenttigraftilla,"Bäckenartär, insättande av stentgraft",19
PF1YT,Sääri- tai nilkkavaltimoiden PTA stentillä,Sääri- tai nilkkavaltimoiden stenttaus,"Underbens- eller vristartär, insättande av stent",19
QBJ99,Muu esteettiset vartalon iho/subkut tmp,Muu esteettisistä syistä tehtävä vartalon ihon tai ihonalaiskudoksen toimenpide,Annan operation av estetiska orsaker på bålens hud/underhudsvävnader,19
QCH01,Sormen kynsialustan korjaus,Sormen kynsialustan korjaus,Revision av fingernagelbädd,19
RP390,,,,19
RS227,,,,19
RS330,,,,19
SGB10,"Hampaan juurentäyttö, 1-juurikanavainen","Hampaan juurentäyttö, 1-juurikanavainen hammas","Rotfyllning, tand med en rotkanal",19
UJK42,Haiman tähystys mahasuolikanavan kautta,Haiman tähystys mahasuolikanavan kautta,Peroral pankreatikoskopi,19
ZX020,Kudoksen sisäinen HDR sädehoito,Kudoksen sisäinen HDR sädehoito,HDR strålbehandling inom vävnaden,19
ZYY79,VÄLI/lMuu,Muu välillinen palvelu ilman potilaskontaktia,Annan tjänst utan patientkontakt,19
ZZH00,"Luukalvo, omakudos, autografti","Luukalvo, omakudos, autografti",Autologt periosttransplantat,19
DQE20,Äänihuuliasentokorj vierasaineimplan,Äänihuulen asennon korjaaminen vierasaineistutteella,Implantation av främmande material i stämband,19
FKC00,Mitraaliläppävuodon korjaus renkaalla,Mitraaliläpän korjaus renkaalla läppävuodon vuoksi,Anuloplastik med ring vid mitralinsufficiens,19
GDC13,Laaj keuhkolohkon poisto,Laajennettu yhden tai kahden keuhkolohkon poisto poisto,Utvidgad lobektomi eller bilobektomi av lunga,19
GDC20,Keuhkolohkon poisto/sleeveresektio,Keuhkolohkon poistoleikkaus ja  sleeveresektio,Lobektomi av lunga med sleeve-bronkresektion,19
JFB53,Sigmasuolen ja peräsuolen typistys,Sigmasuolen ja peräsuolen typistys,Sigmaresektion med delvis resektion av rektum,19
JFW96,"Muu ohut-/paksusuolitoimenpide,avoin",Muu ohut- tai paksusuoleen kohdistuva avoin toimenpide,Annan öppen operation på tunntarm eller kolon,19
JGB50,Kolektomian jälk limak poisto+ileoanosto,"Peräsuolen limakalvon poisto ja ileoanaalinen liitos, paksusuoli poistettu aikaisemmin",Mukosektomi och ileoanal anastomos efter tidigare kolektomi,19
JJA24,Neulalla otettu maksan kudosnäyte LAP,Neulalla otettu maksan kudosnäyte vatsaontelon tähystyksessä,Punktionsbiopsi av levern vid laparoskopi,19
KDD00,Virtsaputken osittainen poisto,Virtsaputken osittainen poisto,Delresektion av uretra,19
MBC00,Kohdunkaulan ompelu synnytyksen jälkeen,Kohdunkaulan ompelu synnytyksen jälkeen,Sutur av cervix uteri vid förlossningsskada eller efter abort,19
NAG60,Lannerangan luudutus etukautta ja kiinni,Lannerangan luudutus etukautta ja kiinnitys,Anterior lumbal spondylodes med fixation,19
NGF20,Polvinivelen  dÈbridement,"Polvinivelen puhdistus, irtopalojen poisto","Öppen putsning, débridement, av knäled",19
NH6LT,Raajan luun LH,Raajan luun tai nivelen koagulaatio radiologisessa ohjauksessa,"Ben eller led i extremitet, värmekoagulation",19
PC5NT,"Munuaisvuoto,embolis",Munuaisvuodon suonensisäinen tukkiminen,"Njurblödning, embolisering",19
PFA26,"Eksploratio,a. poplitea","Tutkimusleikkaus, polvitaivevaltimo a. poplitea",Exploration av a. poplitea,19
PG3YT,Muun valtimon hoito stenttigraftilla,Muun valtimon hoito stenttigraftilla,Annan artär stentgraft behandling,19
QAJ35,Muu pään ja niskan löysän ihon korjaus,Muu pään ja niskan löysän ihon korjaus,Annan korrektion av hudöverskott i huvud-halsregionen,19
TCH12,Näyttenotto etukammiosta,Näytteenotto etukammiosta,Provtagning från främre kammaren,19
TFP42,"Katetriablaatio, Kätkeytynyt oikorata",Kätkeytyneen oikoradan ablaatio,Ablation på dold accesorisk bana,19
TJA30,Vatsaontelodialyysikatetrin asettaminen,Katetrien asettaminen vatsaontelodialyysiä varten,Introduktion av peritoneal dialys kateter,19
ZZQ80,Mikrovask siirteen anastomoositukos reanastomoosi,Mikrovaskulaarisen siirreleikkauksen jälkeisen anastomoositukoksen reanastomoosileikkaus,Reanastomosoperation efter blockerad anastomos i mikorvaskulär transplantat,19
DE2DM,Kuulohermon kanavan erittäin laaja 3 Teslan MT,Kuulohermon kanavan erittäin laaja 3 Teslan MT,"Porus, MR mycklet omfattande (över 1,5T)",19
F764,,,,19
F844,,,,19
HA1DT,"Rintar.kudosn,MK-ohj",Rintarauhasen kudosnäytteen otto MT-ohjauksessa,"Bröstkörtel, MR-styrd vävnadsbiopsi",19
JF1BB,Ohutsuolen 2-kontr.,Ohutsuolen kaksoiskontrastitutkimus,"Tunntarmen, dubbelkontrast",19
JF2BB,Kolongrafian 2-kontr,Paksusuolen kaksoiskontrastitutkimus,"Kolon, dubbelkontrast",19
NK6BQ,Luuston laaja SPET ja matala-anno,Luuston laaja SPET ja matala-annos-TT,Hela kroppens omfattande ben SPET med lågdos DT,19
PC5DG,Munuaisver.er.l.VKMT,Munuaisverisuonten erittäin laaja magneettitutkimus,"Njurarnas blodkärl, mycket omfattande MR",19
A122,,,,18
BAA30,Kilpirauhasen kannaksen poisto,Kilpirauhasen kannaksen poisto,Istmusresektion av sköldkörteln,18
CCC50,Kyynelpussin poisto,Kyynelpussin poisto,Exstirpation av tårsäck,18
CHD20,Posteriorinen sklerotomia,Posteriorinen sklerotomia,Posterior sklerotomi,18
CHE30,Värikalvon ompelu,Värikalvon ompelu,Ersättande av irisdefekt med implantat,18
EJB99,Muu kielen ja suunpohjan kasvaim. tai muut. poisto,Muu kielen ja suunpohjan kasvaimeen tai muutokseen kohdistuva poistoleikkaus,Annan resektion av tumör eller förändring i tunga och munbotten,18
FPG42,Defibr. johtimien vaihto,Defibrillaattorin laskimoteitse asennetun johtimen/johtimien vaihto,Byte av elektroder vid transvenous cardioverter-defibrillator,18
GA2AT,Keuhkop.kudosn.UÄ-o,Keuhkopussin kudosnäytteen otto UÄ-ohjauksessa,"Pleura, UL-styrd vävnadsbiopsi",18
H0148,,,,18
H0227,,,,18
H0248,,,,18
H0626,,,,18
H2042,,,,18
HAB20,Nänniin aukeavan maitotiehyen poisto,Nänniin aukeavan maitotiehyen poisto,Resektion av mjölkgång,18
JCA12,Ruokat umpip auk ruokat tähyst,Ruokatorven umpipussin aukaisu ruokatorven tähystyksessä,Endoskopisk divertikuloesofagostomi,18
JFB61,Sigmatypistys+avanne(Hartmann) LAP,"Sigmasuolen typistys, sigmasuoliavanteen teko ja peräsuolen sulku vatsaontelon tähystyksessä",Laparoskopisk resektion av sigmoideum med sigmoideostomi och tillslutning av rectum,18
JJ5KT,Maksakystan sklerot.,Maksakystan skleroterapia radiologisessa ohjauksessa,"Levercysta, skleroterapi",18
JLD12,Haimapseudokystan avaus gastroskopiass,Haiman pseudokystan avaus mahalaukun tähystyksessä,Endoskopiskt dränage av pankreaspseudocysta till ventrikeln,18
KBW96,Muu virtsanjohtimen leikkaus,Muu virtsanjohtimen leikkaus,Annan öppen operation på uretär,18
NAK30,Selkärangan katkaisuleikkaus,Selkärangan katkaisuleikkaus,Osteotomi på kotpelaren,18
NFM10,Reiden faskiotomia,Reiden faskiotomia,Fasciotomi på låret,18
NHR30,Jalkateräkasvainpoisto  ekstens/radikaa,"Nilkan tai jalkaterän kasvaimen poisto, ekstensiivinen tai radikaalinen",Extensiv/radikal  exstirpation av tumör i fotleden eller foten,18
QBC00,Vartalon ihon vierasesineen poisto,Vartalon ihon vierasesineen poisto,Avlägsnande av kutan/subkutan främmande kropp från bålen,18
QCA99,Muu yläraajan ihon aukaisu tai biopsia,Muu yläraajan ihon aukaisu tai koepalan otto,"Annan punktion, incision eller biopsi vid hudförändring, övre extremiteten",18
QCD20,Yläraajan palovammaeksisio+omaihosiirto,Yläraajan palovamman poistoleikkaus ja peittäminen,"Excision och täckning av brännskada, övre extremiteten",18
SAC02,"Hoidon erillinen työsuunnittelu, vaativa","Suun ja hampaiston hoidon erillinen työsuunnittelu, vaativa","Separat planering av arbetet i samband med vård av mun och tänder, krävande",18
SPA55,Purennan ja hammaskaarten aseman määritys,Purennan ja hammaskaarten aseman määritys,Bestämning av ocklusion och dentalbågens ställning,18
TCK20,Pistonäytteen otto lasiaisesta,Pistonäytteen otto lasiaisesta,Punktionsbiopsi av glaskropp,18
TJF10,Jejunumletku mahalaukkuavanteen kautta,Jejunumletkun asettaminen mahalaukkuavanteen kautta,Införande av jejunumsond via gastrostomi,18
TNX34,Laaja muovailtava sidos,Laaja muovailtava sidos,Anläggande av större formbart bandage,18
WX902,Sydämen ulkoinen defibrillaatio,Sydämen ulkoinen defibrillaatio,Extern defibrillation av hjärtat,18
ZXE02,Toimenpiteen kesto 10-19 minuuttia,Toimenpiteen kesto 10-19 minuuttia,Vårdåtgärdens tidsåtgång 10-19 min,18
ACC58,Hartiahermopunoksen vapautus,Hartiahermopunoksen vapautus,Dekompression av plexus brachialis,18
DEB00,Mastoidektomia,Mastoidektomia,Kortikal mastoidektomi,18
DEB50,Ohimoluun poisto osittain,"Ohimoluun poisto osittain, osittainen petrosectomia",Resektion av os temporale,18
DMB40,Poskiontelokasvainpoisto nenän sivulta,Poskiontelon muutoksen tai kasvaimen poisto nenän sivulta aukaisten,Lateral rinotomi,18
DPB00,Otsaontelon takaseinän poisto,Otsaontelon takaseinän poisto,Exstirpation av bakväggen i sinus frontalis,18
EWF00,Uusintaleikkaus pään/kaulan haavan aukeam. vuoksi,"Uusintaleikkaus leuan, suun tai nielun leikkaushaavan aukeamisen vuoksi","Reoperation på grund av sårruptur i käke, mun eller svalg",18
FPE46,,,,18
GBB18,Henkitorviavanteen sulku,Henkitorviavanteen sulku,Förslutning av trakeostomi,18
JDF01,Gastroplastia vatsaontelon tähystyksessä,Mahalaukun muovaus vatsaontelon tähystyksessä,Laparoskopisk gastroplastik,18
JFA10,Paksusuolen avaus,Paksusuolen avaus,Kolotomi,18
JFG30,Paksusuoliavanteen sulku suolta poistaen,Paksusuoliavanteen sulku suolta poistaen,Förslutning av kolostomi med tarmresektion,18
JJA00,Maksan tutkimusleikkaus,Maksan tutkimusleikkaus,Exploration av levern,18
LAG01,Munasarjakiinnikkeiden irroittelu LAP,Munasarjakiinnikkeiden irroittelu vatsaontelon tähystyksessä,Laparoskopisk ovariolys,18
LEF51,Hysterektomian jälk laskeuman korj LAP,Kohdun poiston jälkeisen emättimen pohjukan laskeuman korjaus vatsaontelon tähystyksessä,Laparoskopisk operation för vaginaltoppsprolaps efter tidigare hysterektomi,18
NGK99,Muu säären tai polvilumpion luuleikkaus,Muu säären tai polvilumpion luuleikkaus,Annan operation på patella/tibia/fibula,18
NHL10,Akillesjänteen ompelu tai korjaus,Akillesjänteen ompelu tai korjaus,Sutur/reparation av akillessenan,18
PCQ19,"Valtimostentti,a. renalis","Valtimon sisäistutteen asettaminen, a. renalis","Inläggande av endovaskulärt implantat, a. renalis",18
QBB,Vartalon ihohaavojen ompelut/sidevaihdot,Vartalon ihohaavojen ompelut ja siteenvaihdot,Sårbehandling på bålen,18
QBG99,Muu vartalon kroonisen haavan leikkaus,Muu vartalon kroonisen haavan leikkaus,Annan operation för kroniskt sår på bålen,18
ZXF10,"Toimenpit.kesk,tekn",Toimenpiteen keskeyttäminen välineiden teknisen pettämisen vuoksi,Åtgärden avbruten av tekniska orsaker,18
AA4CD,Sellan erittäin laaja TT,Sellan erittäin laaja tietokonetomografiatutkimus,"Sella, mycket omfattande DT",18
F440,,,,18
F619,,,,18
F810,,,,18
KA1BD,Munuaisten laaja TT,Munuaisten laaja TT,"Njurar, omfattande DT",18
NK4BG,Muun nivelen VKMT,Muun nivelen magneettitutkimus,"Annan led, MR",18
PD5CG,Rin+vats-aort.l.VKMT,Rinta- ja vatsa-aortan laaja magneettitutkimus,"Aorta, omfattande MR",18
A310,,,,17
A440,,,,17
ABA10,Biopsia selkäydinkanavan kudoksesta,Koepalan otto selkäydinkanavan kudoksesta,Biopsi av patologisk förändring i spinalkanal,17
CBF20,Luomituen osapoisto ektropiumin korjaami,Luomituen osapoisto ektropiumin korjaamiseksi,Delresektion av tarsus för ektropium,17
CCA20,Kyynelpisteen tai -tiehyeen  aukaisu,Kyynelpisteen tai -tiehyeen  aukaisu,"Klyvning av tårpunkt eller -kanal, dakryotomi",17
CHW99,Muu etuk/kammiokulm/iris/ciliareleikk,"Muu etukammion, kammiokulman, värikalvon ja sädekehän leikkaus","Annan operation i främre kammaren, kammarvinkeln, på iris och ciliarkroppen",17
CKC20,Kiinni olevan retinan kryokoagulaatio,"Kiinni olevan verkkokalvon jäädytys, kryokoagulaatio",Kryopexi på anliggande näthinna,17
EDC36,Alaleuan nivelhaar. avoin repos./immobil,Alaleukaluun nivelhaarakkeen murtuman avoin paikalleen asettaminen ja liittäminen,Öppen reposition och osteosyntes av kondylfraktur,17
EFA10,Kudosmuutoksen poisto leuoista,Kasvaimen poisto leuoista,Exstirpation av tumör i käke,17
FCA60,"Aortatyvikorj,istutus+mekläppä,B-deB","Aortan tyven korjaaminen, sepelvaltimoistutus ja mekaaninen läppä",Resektion av aortaroten och aorta ascendens med reimplantation av koronarartärer och användande av klaffbärande kärlprotes,17
FN1BB,Sydämen laaja angio,Sydämen ja/tai sepelvaltimoiden varjoainetutkimus ohitusleikkauksen jälkeen,Undersökning av hjärta och/eller kranskärl med kontrastämne efter bypassoperation,17
H0088,,,,17
H0223,,,,17
H0475,,,,17
H0498,,,,17
H0714,,,,17
H2016,,,,17
H2104,,,,17
JCA45,Endoskooppinen mukoresektio (EMR) ruokatorvessa,Endoskooppinen mukoresektio (EMR) ruokatorvessa,Endoskopisk mukosaresektion (EMR) i esofagus,17
JFA55,Muu paksusuolen poltto/lämpökäs tähystyk,Muu paksusuolen poltto tai lämpökäsittely tähystyksessä,Annat endoskopiskt lokalt ingrepp med diatermi eller värme i kolon,17
JFB01,Ohutsuolen typistys laparoskopiassa,Ohutsuolen typistys vatsaontelon tähystyksessä,Laparoskopisk tunntarmsresektion,17
JFB41,Transversumresektio LAP,Poikittaisen paksusuolen typistys vatsaontelon tähystyksessä,Laparoskopisk resektion av colon transversum,17
JG1DG,"Peräsuolen er. laaja magneettitutkimus (1,5T)",Peräsuolen erittäin laaja magneettitutkimus,"Ändtarmen, mycket omfattande MR",17
KGV30,Erektioproteesin asettaminen,Erektioproteesin asettaminen,Implantation av erektionsprotes,17
LAB10,Koepalan otto munasarjasta,Koepalan otto munasarjasta,Öppen biopsi av ovarium,17
LFF00,Bartholinin rauhasen marsupialisaatio,Bartholinin rauhasen aukaisu ja reunan ompelu,Marsupialisation av Bartholin's körtel (glandula vestibularis major),17
NB1BD,Olkapään laaja TT,Olkapään laaja tietokonetomografiatutkimus,"Axelled, omfattande DT",17
NHF25,Nilkkanivelen débridement ASKO,"Nilkkanivelen puhdistus, irtopalojen poisto, tähystyksessä","Artroskopisk putsning av fotleden, débridement",17
PBM09,"AV-fistelin sulku,a. brachialis","Valtimo-laskimoavanteen sulku, a. brachialis","Förslutning av A-V fistel, utgående från a. brachialis",17
PH5AC,"Vena spermatica,tutk",Kiveslaskimon varjoainetutkimus,Flebografi av vena spermatica,17
QAJ99,Muu esteettinen pään/kaulan ihon tmp,"Muu ulkonäköa muuttava, esteettisistä syistä tehtävä pään tai kaulan ihon toimenpide",Annan estetiskt betingad operation i huvud-halsregionen,17
RP321,,,,17
SFC92,Muu vaativa paikkaushoidon tukitoimenpid,Muu vaativa paikkaushoidon tukitoimenpide,Annan krävnande stödåtgärd för fyllningsterapi,17
SPF11,Hammasproteesin suuhun sovitus,Hammasproteesin suuhun sovitus,Inprovning av tandprotes i munnen,17
TNG10,Polven pisto,Polven pisto,Artrocentes i knäled,17
TQA05,Pään tai kaulan ihon pisto,Pään tai kaulan ihon pisto,Punktion i huvud-halsregionen,17
WVA30,Lihas- ja ihonalaisinjektio,Lihas- ja ihonalaisinjektio,Intramuskulär och subkutan injektion,17
ZZE00,"Lihas, omakudos, autografti","Lihas, omakudos, autografti",Autologt skelettmuskeltransplantat,17
CGE50,Siipikalvon poisto,Siipikalvon poisto,Excision av pterygium,17
DWW99,"Korva/nenä/kurkunpääleikk revisio,muu","Muu korva-, nenä-, kaula- ja kurkunpääleikkausten haavakomplikaatioleikkaus",Revision av ÖNH-operationssår p.g.a. andra komplikationer,17
ELB99,Muu sylkirauhasten poistoleikkaus,Muu sylkirauhasten poistoleikkaus,Annan resektion eller excision av spottkörtel,17
EWD00,"Leuka/hamm/suu/nieluhaavarev,vuoto","Uusintaleikkaus leuka-, suu-, tai nieluleikkauksen haavan vuodon vuoksi","Revision av blödning efter käk-, mun- eller svalgoperation",17
JBC00,Ruokatorven antirefluksileikkaus,Ruokatorven antirefluksileikkaus,Operation för gastroesofageal reflux,17
JGC30,Peräsuolilimakalvopoisto+end-to-end(Delo,"Peräsuolen limakalvon poisto alakautta, korjaus  end-to-end  (Delorme)",Transanal resektion och sutur av rektal mukosa (Delorme),17
KBH96,Muu virtsanjohtimen korjaamisleikkaus,Muu virtsanjohtimen korjausleikkaus,Annan öppen rekonstruktion av uretär,17
KFH00,Laskeutumaton/virhesijantikiveskorjaus,Laskeutumattoman tai virhesijantikiveksen korjaus,"Operation för kryptorkism (retentio testis, ectopia testis)",17
LAC96,Muu munasarjamuutospoisto/vastaava,Muu munasarjamuutosten poistoleikkaus tai vastaava,Annan öppen resektion av ovarium eller destruktion av förändring i ovarium,17
LAG97,Muu korjaava munasarjatoimenpide LAP,Muu korjaava munasarjatoimenpide vatsaontelon tähystyksessä,Annan laparoskopisk rekonstruktiv operation på ovarium,17
