ICD9,n_codes,freq_finngen_per,Finnish_name,possible_english_name
6168X,20,0.00500%,"MORBI INFECTIOSI CERVICIS UTERI,VAGIN ET VULVAE AL","Other specified inflammatory diseases of cervix, vagina, and vulva"
6213X,20,0.00500%,HYPERPLASIA ENDOMETRII NUD,Endometrial hyperplasia
6332A,20,0.00500%,GRAVIDITAS ECTOPICA (EXTRAUTERINA) OVARII,Ovarian pregnancy
6350X,20,0.00500%,"ABORTUS PROV LEGAL SINE COMPL,MUUT LAILLISET SYYT",Legally induced abortion complicated by genital tract and pelvic infection
7152G,20,0.00500%,"OSTEORTHROSIS SECUNDARIA,NILKKA","Osteoarthrosis, localized, secondary"
7178B,20,0.00500%,LAESIO LIGAMENTI COLLATERALIS LATERALIS,Other internal derangement of knee
7183K,20,0.00500%,"LUXATIO HABITUALIS, MUU NIVEL",Recurrent dislocation of joint
7219X,20,0.00500%,SPONDYLARTHROSIS NUD,Spondylosis of unspecified site
7287X,20,0.00500%,"FIBROMATOSIS ALIA MUSCULI,LIGAMENTI ET FASCIAE","Other fibromatoses of muscle, ligament, and fascia"
7351A,20,0.00500%,HALLUX VARUS ACQUISITUS,Hallux varus (acquired)
7542A,20,0.00500%,MALEFORMATIONES COLUMNAE VERTEBRALIS,Congenital musculoskeletal deformities of spine
7553B,20,0.00500%,REDUCTIO EXTREMITATIS INFERIORIS LONGITUDINALIS,"Reduction deformities of lower limb, congenital"
7576A,20,0.00500%,ANOMALIAE CONGENITAE MAMMAE,Specified congenital anomalies of breast
7849X,20,0.00500%,SYMPTOMATA ALIA DEFINITA REGIONIS COLLI ET CAPITIS,Other symptoms involving head and neck
7905X,20,0.00500%,MUIDEN ENTSYYMIEN EPÄSPESIFISTI KOHONNEET VERIPIT,Other nonspecific abnormal serum enzyme levels
8050A,20,0.00500%,"KAULARANGAN KOMPRESSIOMURTUMA,EI SELKÄYDINVAURIOTA",Closed fracture of cervical vertebra without mention of spinal cord injury
8050D,20,0.00500%,"KAULARANGAN INSTAB ARCUS/PROC ARTIC-MURT,EI SPIN",Closed fracture of cervical vertebra without mention of spinal cord injury
8123A,20,0.00500%,FRACTURA HUMERI DIAPHYSEOS COMPLICATA,"Fracture of shaft or unspecified part of humerus, open"
8135A,20,0.00500%,FRACTURA COLLES COMPLICATA,"Fracture of lower end of radius and ulna, open"
8161B,20,0.00500%,"FRACTURA DIGITI II MANUS, COMPLICATA",Open fracture of one or more phalanges of hand
8735A,20,0.00500%,VULNUS FACIEI COMPLICATUM,"Open wound of face, complicated"
9968A,20,0.00500%,ELINSIIRRÄNNÄISEEN LIITTYVÄ KOMPLIKAATIO,Complications of transplanted organ
0381B,19,0.00475%,SEPTICHAEMIA STAPHYLOCOCCUS EPIDERMIDIS,Staphylococcal septicemia
0781B,19,0.00475%,VERRUCA PLANA,Viral warts
0790A,19,0.00475%,ADENOVIRUSINFEKTIO,Adenovirus infection in conditions classified elsewhere and of unspecified site
2104A,19,0.00475%,"NEOPLASMA BENIGNUM ORIS, LOCO ALIO ET NUD",Benign neoplasm of other and unspecified parts of mouth
2130A,19,0.00475%,"NEOPLASMA BENIGNUM OSSIUM CRANII ET FACIEI, MANDIB",Benign neoplasm of bones of skull and face
2152A,19,0.00475%,"YLÄRAAJAN BENIGNI PEHMYTKUDOSKASVAIN,SIDEKUDOSPERÄI","Other benign neoplasm of connective and other soft tissue of upper limb, including shoulder"
2167X,19,0.00475%,"ALARAAJAN IHON BEN KASV,TARK MÄÄRITT HYVÄNLAAT KASV","Benign neoplasm of skin of lower limb, including hip"
2243A,19,0.00475%,NEOPLASMA BENIGNUM CONJUNCTIVAE,Benign neoplasm of conjunctiva
2350A,19,0.00475%,NEOPLASMA DEFINITUM ALIUD GLANDULARUM SALIVALIUM,Neoplasm of uncertain behavior of major salivary glands
2508X,19,0.00475%,"DIABETES MELLITUS CUM COMPLICATIONE NON DESCR,NUD",Diabetes with other specified manifestations
2754A,19,0.00475%,HYPERCALCAEMIA,Disorders of calcium metabolism
3541A,19,0.00475%,LAESIO NERVI MEDIANI ALIA,Other lesion of median nerve
3575A,19,0.00475%,POLYNEUROPATHIA ALCOHOLICA,Alcoholic polyneuropathy
3760A,19,0.00475%,INFLAMMATIO ORBITAE ACUTA,Acute inflammation of orbit
4040A,19,0.00475%,MORBI CORDIS ET RENALIS HYPERTONICI,"Hypertensive heart and chronic kidney disease, malignant"
4264A,19,0.00475%,"""RIGHT BUNDLE BRANCH BLOCK""",Right bundle branch block
4718X,19,0.00475%,POLYPUS NASALIS ALIA DEFINITA,Other polyp of sinus
5199X,19,0.00475%,MORBI ORGANORUM RESPIRATIONIS NUD,Unspecified disease of respiratory system
5314A,19,0.00475%,"ULCUS VENTRICULI ACUTA,KOMPLISOITUMATON",Chronic or unspecified gastric ulcer with hemorrhage
5322E,19,0.00475%,"ULCUS BULBI,OBSTRUKTIO",Acute duodenal ulcer with hemorrhage and perforation
5368X,19,0.00475%,MAHALAUKUN MUU TOIMINTAHÄIRIÖ,Dyspepsia and other specified disorders of function of stomach
5771A,19,0.00475%,PANCREATITIS CHRONICA NONALCOHOLICA RECIDIVANS,Chronic pancreatitis
5958X,19,0.00475%,CYSTITIS ALIA DEFINITA,Other specified types of cystitis
5964A,19,0.00475%,AREFLEXIA VESICAE URINARIAE,Atony of bladder
5978A,19,0.00475%,SYNDROMA URETHRAE,Other urethritis
6213D,19,0.00475%,HYPERPLASIA ENDOMETRII ATYPICA,Endometrial hyperplasia
6250A,19,0.00475%,DYSPAREUNIA,Dyspareunia
7098X,19,0.00475%,MORBI CUTIS ET SUBCUTIS ALIA DEFINITA,Other specified disorders of skin
7265X,19,0.00475%,ENTHESOPATHIA COXAE ALIA SEU NUD,Enthesopathy of hip region
7367A,19,0.00475%,DEFORMATIO TARSI ET PEDIS ACQUISITA ALIA,Other acquired deformities of ankle and foot
7481A,19,0.00475%,MALEFORMATIONES NASI ALIAE,Other anomalies of nose
7511A,19,0.00475%,ATRESIA ET STENOSIS DUODENI,Atresia and stenosis of small intestine
7555X,19,0.00475%,MALEFORMATIONES EXTREMITATIS SUPERIORIS ALIA DEF,"Other congenital anomalies of upper limb, including shoulder girdle"
7640A,19,0.00475%,SYMMETRINEN SIKIÖN ALIPAINOI RASK KESTOON NÄHDEN,"""Light-for-dates"" without mention of fetal malnutrition"
7706A,19,0.00475%,TACHYPNOEA TRANSITORIA NEONATALIS,Transitory tachypnea of newborn
7832A,19,0.00475%,EPÄNORMAALI PAINONLASKU,Abnormal loss of weight and underweight
8101A,19,0.00475%,FRACTURA CLAVICULAE COMPLICATA,Open fracture of clavicle
8135X,19,0.00475%,FRACTURA RADII ET ULNAE DISTALIS COMPLICATA,"Fracture of lower end of radius and ulna, open"
8161E,19,0.00475%,"FRACTURA DIGITI V MANUS, COMPLICATA",Open fracture of one or more phalanges of hand
8390A,19,0.00475%,"LUXATIO VERTEBRAE CERVICALIS, NON COMPLICATA","Closed dislocation, cervical vertebra"
8670A,19,0.00475%,LAESIO LAESIO VESICAE URINARIAE/URETHRAE NON COMPLI,"Injury to bladder and urethra, without mention of open wound into cavity"
8726A,19,0.00475%,"VULNUS MEMBRANAE TYMPANI, NON COMPLICATUM","Open wound of other specified parts of ear, without mention of complication"
8793A,19,0.00475%,VULNERA ABDOMINALIS ANTERIORIS COMPLICATA,"Open wound of abdominal wall, anterior, complicated"
9074A,19,0.00475%,SEQ LAESIONUM NERV.PERIPHERICORUM HUMEROSCAPULARIS,Late effect of injury to peripheral nerve of shoulder girdle and upper limb
9090A,19,0.00475%,SEQUELAE INTOXICATIO MEDICAMENTORUM ET NOXARUM ALIA,"Late effect of poisoning due to drug, medicinal or biological substance"
9442A,19,0.00475%,"COMBUSTIO CARPI ET MANUS GRADUS II,<9%",Blisters with epidermal loss due to burn [second degree] of wrist(s) and hand(s)
9989X,19,0.00475%,TARKEMMIN MÄÄRITTELEMÄTÖN TOIMENPIT YHT SYNT KOMPL,"Unspecified complication of procedure, not elsewhere classified"
V202A,19,0.00475%,LAPSEN PSYYKKISEN KEHITYKSEN ARVIOINTI,Routine infant or child health check
0538X,18,0.00450%,HERPES ZOSTER ALIUS DEFINITUS,Herpes zoster with unspecified complication
1625A,18,0.00450%,"NEOPL MAL LOBI INFERIORIS PULMONIS,CA EPIDERMOIDES","Malignant neoplasm of lower lobe, bronchus or lung"
1725A,18,0.00450%,"MELANOMA MALIGNUM CUTIS TRUNCI,MELAN EX LENTIGOMAL","Malignant melanoma of skin of trunk, except scrotum"
2111X,18,0.00450%,NEOPLASMA BENIGNUM ALIUD VENTRICULI,Benign neoplasm of stomach
2152X,18,0.00450%,"YLÄRAAJAN BENIGNI PEHMYTKUDOSKASVAIN,TARK MÄÄRITTEL","Other benign neoplasm of connective and other soft tissue of upper limb, including shoulder"
2230A,18,0.00450%,"NEOPLASMA BENIGNUM RENIS, PELVE EXCLUSA","Benign neoplasm of kidney, except pelvis"
2400A,18,0.00450%,STRUMA SIMPLEX,"Goiter, specified as simple"
2801A,18,0.00450%,ANAEMIA SIDEROPENICA E NUTRIMENTO INADEQUATA,Iron deficiency anemia secondary to inadequate dietary iron intake
2928B,18,0.00450%,DELIRIUM EX USU MEDICAMENTORUM,Other specified drug-induced mental disorders
3558X,18,0.00450%,ALARAAJAN MONONEUROPATIA NUD,"Mononeuritis of lower limb, unspecified"
3598X,18,0.00450%,MYOPATHIA ALIA DEFINITA,Other myopathies
3600A,18,0.00450%,ENDOPHTALMITIS PURULENTA,Purulent endophthalmitis
3618X,18,0.00450%,ABLATIO ET RUPTURA RETINAE ALIA DEFINITA,Other forms of retinal detachment
3710A,18,0.00450%,CICATRICES ET LEUCOMAE CORNEAE,Corneal scars and opacities
3741A,18,0.00450%,ECTROPIUM,Ectropion
3788X,18,0.00450%,MUU SILMÄN LIIKEHÄIRIÖ,Other disorders of binocular eye movements
4240X,18,0.00450%,ALIUD VITIUM VALVULAE MITRALIS (NON RHEUMATICUM),Mitral valve disorders
4261B,18,0.00450%,"DISS. ATRIOVENTR GR II, MOBITZ I (WENCKEBACH)","Atrioventricular block, other and unspecified"
4299X,18,0.00450%,MORBUS CORDIS NUD,"Heart disease, unspecified"
4465A,18,0.00450%,JÄTTISOLUARTERIITTI,Giant cell arteritis
4539X,18,0.00450%,EMBOLIA ET THROMBOSIS VENARUM NUD,Other venous embolism and thrombosis of unspecified site
5733A,18,0.00450%,TOKSINEN HEPATIITTI,"Hepatitis, unspecified"
5909X,18,0.00450%,INFECTIO RENIS NUD,"Infection of kidney, unspecified"
6060A,18,0.00450%,AZOOSPERMIA,Azoospermia
6174A,18,0.00450%,ENDOMETRIOSIS VAGINAE ET RECTOVAGINAE,Endometriosis of rectovaginal septum and vagina
6188X,18,0.00450%,PROLAPSUS UTEROVAGINALIS ALIA,Other specified genital prolapse
6243A,18,0.00450%,HYPERTROPHIA LABIORUM,Hypertrophy of labia
6278X,18,0.00450%,DISTURBATIONES MENOPAUSALES ET POSTMENOPAUSALES AL,Other specified menopausal and postmenopausal disorders
6348X,18,0.00450%,ABORTUS SPONTANEUS CUM COMPLICATIONE ALIA,Spontaneous abortion with unspecified complication
6351C,18,0.00450%,"ABORTUS PROV LEGAL CUM INFECT,SOSIAALISET SYYT",Legally induced abortion complicated by delayed or excessive hemorrhage
6419B,18,0.00450%,"HAEMORRHAGIA NUD IN GRAVIDITATE,SYNN PÄÄTT HOITOJ",Unspecified antepartum hemorrhage
7199A,18,0.00450%,"MB ARTICULI NUD,OLKANIVEL",Unspecified disorder of joint
7226X,18,0.00450%,DEGENERATIO DISCI INTERVERTABRALIS NUD,"Degeneration of intervertebral disc, site unspecified"
7261C,18,0.00450%,TENOSYNOVITIS BICIPITIS BRACHII,Rotator cuff syndrome of shoulder and allied disorders
7293X,18,0.00450%,PANNICULITIS NUD,"Panniculitis, unspecified"
7368X,18,0.00450%,DEFORMATIO EXTREMIT ACQUISIT ALIA DEFINITA,Acquired deformities of other parts of limbs
7528X,18,0.00450%,MALEFORMATIO CONGENITA ORGANORUM GENITALIUM ALIA,Other specified congenital anomalies of genital organs
7820A,18,0.00450%,ANAESTHESIA,Disturbance of skin sensation
8060D,18,0.00450%,KAULARANGAN INSTAB ARCUS/PROC ARTIC-MURT JA SPIN,Closed fracture of cervical vertebra with spinal cord injury
8125A,18,0.00450%,FRACTURA HUMERI PARTIS INFERIORIS COMPLICATA,"Fracture of lower end of humerus, open"
8161A,18,0.00450%,"FRACTURA DIGITI I MANUS, COMPLICATA",Open fracture of one or more phalanges of hand
8421A,18,0.00450%,DISTORSIO/DISTENSIO/RUPT.ARTICULI CARPOMETACARPALIS,Hand sprain
8738X,18,0.00450%,VULNUS CAPITIS ALIUD DEFINITA/NUD NON COMPLICATUM,Other and unspecified open wound of head without mention of complication
9067A,18,0.00450%,SEQUELAE COMBUSTIONIS EXTREMITATUM,Late effect of burn of other extremities
9244X,18,0.00450%,CONTUSIO EXTREMITATIS INFERIORIS LOCO MULTIPLICI,Contusion of multiple sites of lower limb
9391A,18,0.00450%,CORPUS ALIENUM UTERI,"Foreign body in uterus, any part"
9623A,18,0.00450%,MYRKYTYS:INSULIINI,Poisoning by insulins and antidiabetic agents
9699X,18,0.00450%,MYRKYTYS:TARKEMMIN MÄÄRITTELEMÄTTÖMÄT PSYKOTR AIN,Poisoning by unspecified psychotropic agent
9721A,18,0.00450%,MYRKYTYS:SYDÄNGLYKOSIDIT,Poisoning by cardiotonic glycosides and drugs of similar action
0039X,17,0.00425%,SALMONELLOSIS NUD,"Salmonella infection, unspecified"
0380X,17,0.00425%,SEPTICHAEMIA STREPTOCOCCUS ALIA,Streptococcal septicemia
0540A,17,0.00425%,ECZEMA HERPETICUM,Eczema herpeticum
0994A,17,0.00425%,URETHRITIS NONSPECIFICA,Other nongonococcal urethritis [NGU]
1725B,17,0.00425%,"MELANOMA MALIGNUM CUTIS TRUNCI,SUPERFICIAL SPREAD","Malignant melanoma of skin of trunk, except scrotum"
2136A,17,0.00425%,"NEOPLASMA BENIGNUM OSSIS PELVICIS, SACRI ET COCCYGI","Benign neoplasm of pelvic bones, sacrum, and coccyx"
2164A,17,0.00425%,"PÄÄN JA KAULAN IHON BEN KASV,NAEVUS PIGMENTOSUS",Benign neoplasm of scalp and skin of neck
2428X,17,0.00425%,THYREOTOXICOSIS ALIA,Thyrotoxicosis of other specified origin
2728X,17,0.00425%,MORBI CONGENITI METABOLICI LIPOIDICI ALII,Other disorders of lipoid metabolism
2765A,17,0.00425%,DEHYDRATIO,Volume depletion
3051A,17,0.00425%,TUPAKKARIIPPUVUUS,Tobacco use disorder
3318X,17,0.00425%,DEGENERATIO CEREBRI ALIA DEFINITA,Other cerebral degeneration
3319X,17,0.00425%,DEGENERATIO CEREBRI NUD,"Cerebral degeneration, unspecified"
3569X,17,0.00425%,MUU MÄÄRITTELEMÄTÖN IDIOPAATTINEN PERIF NEUROPATIA,Unspecified hereditary and idiopathic peripheral neuropathy
3578A,17,0.00425%,POLYNEUROPATHIA SECUNDARIA,Other inflammatory and toxic neuropathies
3613A,17,0.00425%,RUPTURA RETINAE SINE ABLATIONE,Retinal defects without detachment
3656C,17,0.00425%,GLAUCOMA NEOVASCULARE,Glaucoma associated with other ocular disorders
3656E,17,0.00425%,GLAUCOMA POSTTRAUMATICUM,Glaucoma associated with other ocular disorders
3730A,17,0.00425%,BLEPHARITIS ET BLEPHAROCONJUNCTIVITIS,Blepharitis
3801X,17,0.00425%,OTITIS EXTERNA CHRONICA NUD,Infective otitis externa
3851A,17,0.00425%,OTITIS MEDIA ADHAESIVA,Adhesive middle ear disease
4219X,17,0.00425%,ENDOCARDITIS INFECTIOSA ACUTA/SUBACUTA NONBACTER,"Acute endocarditis, unspecified"
4518X,17,0.00425%,PHLEBITIS/THROMBOPHLEBITIS/TROMBOSIS PHLEBARUM ALIA,Phlebitis and thrombophlebitis of other sites
4739X,17,0.00425%,SINUITIS CHRONICA NUD,Unspecified sinusitis (chronic)
5185A,17,0.00425%,ARD-SYNDROMA,Pulmonary insufficiency following trauma and surgery
5242A,17,0.00425%,GNATHOANOMALIAE ARCUUM DENTALIUM,Anomalies of dental arch relationship
5301D,17,0.00425%,OESOPHAGITIS ALIA DEFINITA,Esophagitis
5302A,17,0.00425%,ULCUS OESOPHAGI CUM OESOPHAGITIDE,Ulcer of esophagus
5306A,17,0.00425%,DIVERTICULUM OESOPHAGI ZENKER,"Diverticulum of esophagus, acquired"
5351C,17,0.00425%,GASTRITIS ATROPHICANS TYPUS A+B,Atrophic gastritis
5821B,17,0.00425%,"GLOMERULONEPHRITIS CHRONICA MEMBRANACEA,NEFR SDR",Chronic glomerulonephritis with lesion of membranous glomerulonephritis
6084A,17,0.00425%,ALII MORBI INFLAMMATORII GENITALIUM VIRI,Other inflammatory disorders of male genital organs
6159X,17,0.00425%,"ENDOMETRITIS, ENDOMYOMETRITIS ET PERIMETRITIS NUD",Unspecified inflammatory disease of uterus
6218X,17,0.00425%,ALII MORBI UTERI,"Other specified disorders of uterus, not elsewhere classified"
6219X,17,0.00425%,MORBUS UTERI NUD,Unspecified disorder of uterus
6226A,17,0.00425%,ELONGATIO COLLI UTERI,Hypertrophic elongation of cervix
6432A,17,0.00425%,"EMESIS GRAVIDARUM IV,V,VI  ETC.",Late vomiting of pregnancy
6540B,17,0.00425%,"MALEFORMATIO UTERI CONGENITA, SYNNYTYKSEN AIKANA","Congenital abnormalities of uterus complicating pregnancy, childbirth, or the puerperium"
6606B,17,0.00425%,"EPÄONNISTUNUT KOESYNNYTYS, JOKA PÄÄTTYY KEISARILEIK","Failed trial of labor, unspecified"
6983B,17,0.00425%,NEURODERMATITIS CIRCUMSCRIPTA,Lichenification and lichen simplex chronicus
7110E,17,0.00425%,"ARTHRITIS PURULENTA, LONKKANIVEL",Pyogenic arthritis
7218X,17,0.00425%,SPONDYLARTHROSIS ALIA,Other allied disorders of spine
7238X,17,0.00425%,MB REGIONIS CERVICALIS ALIA DEFINITA,Other syndromes affecting cervical region
7284A,17,0.00425%,LIGAMENTA LAXA,Laxity of ligament
7332X,17,0.00425%,CYSTA OSSIS ALIA,Cyst of bone
7419D,17,0.00425%,SPINA BIFIDA APERTA SINE HYDROCEPHALO REG LUMBALIS,Spina bifida without mention of hydrocephalus
7600B,17,0.00425%,"PRAE-ECLAMPSIA (TOXAEMIA) MATRIS, SEQUELA FOETUS",Maternal hypertensive disorders affecting fetus or newborn
7830A,17,0.00425%,ANOREXIA,Anorexia
7831A,17,0.00425%,EPÄNORMAALI PAINONNOUSU,Abnormal weight gain
8134C,17,0.00425%,"FRACTURA ULNAE DISTALIS ALIA,NON COMPLICATA","Fracture of lower end of radius and ulna, closed"
8151X,17,0.00425%,"FRACTURA OSSIS METACARPALIS MULTIPLEX/NUD,COMPLICAT",Open fracture of metacarpal bones
8253E,17,0.00425%,FRACTURA OSSIS METATARSALIS COMPLICATA,"Fracture of other tarsal and metatarsal bones, open"
8711A,17,0.00425%,LACERATIO OCULI CUM PROLAPSU TELAE INTRAOCULARIS,Ocular laceration with prolapse or exposure of intraocular tissue
9211A,17,0.00425%,CONTUSIO PALPEBRAE ET REGIONIS PERIOCULARIS,Contusion of eyelids and periocular area
9224A,17,0.00425%,CONTUSIO ORGANORUM GENITALIUM,Contusion of genital organs
9280A,17,0.00425%,LONKAN JA REIDEN  MURSKAVAMMA,Crushing injury of hip and thigh
9411A,17,0.00425%,"COMBUSTIO FACIEI, CAPITIS ET COLLI GRADUS I,<9%","Erythema due to burn [first degree] of face, head, and neck"
9462A,17,0.00425%,"COMBUSTIO LOCI MULTIPLICIS DEFINITI GR II, <9%","Blisters, epidermal loss [second degree] of multiple specified sites"
9967A,17,0.00425%,"SIS PROTEET LAIT, IMPLANT TAI SIIRRÄN AIH MUU KOMPL","Other complications of internal (biological) (synthetic) prosthetic device, implant, and graft"
1725D,16,0.00400%,"MELANOMA MALIGNUM CUTIS TRUNCI,MUU TAI TARK MÄÄR","Malignant melanoma of skin of trunk, except scrotum"
2153X,16,0.00400%,"ALARAAJAN BENIGNI PEHMYTKUDOSKASVAIN,TARK MÄÄRITTEL","Other benign neoplasm of connective and other soft tissue of lower limb, including hip"
2254A,16,0.00400%,NEOPLASMA BENIGNUM MENINGUM SPINALIUM,Benign neoplasm of spinal meninges
2387B,16,0.00400%,THROMBOCYTHAEMIA IDIOPATHICA,Neoplasm of uncertain behavior of other lymphatic and hematopoietic tissues
2513A,16,0.00400%,HYPOINSULINAEMIA POSTOPERATIVA,Postsurgical hypoinsulinemia
2680A,16,0.00400%,RACHITIS ACTIVA,"Rickets, active"
2721X,16,0.00400%,HYPERTRIGLYCERIDAEMIA ALIA,Pure hyperglyceridemia
3057A,16,0.00400%,AMFETAMIINIPÄIHTYMYS,Amphetamine or related acting sympathomimetic abuse
3342A,16,0.00400%,DEGENERATIO CEREBELLARIS PRIMARIA,Primary cerebellar degeneration
3489X,16,0.00400%,MORBI CEREBRI NUD,Unspecified condition of brain
3518X,16,0.00400%,MORBI NERVI FACIALIS ALIA DEFINITA,Other facial nerve disorders
3623A,16,0.00400%,OCCLUSIO ARTERIAE CENTRALIS RETINAE,Retinal vascular occlusion
3703A,16,0.00400%,KERATOCONJUNCTIVITIS,Certain types of keratoconjunctivitis
3773A,16,0.00400%,PAPILLITIS OPTICA,Optic neuritis
3782A,16,0.00400%,STRABISMUS CONVERGENS INTERMITTENS,Intermittent heterotropia
4131A,16,0.00400%,"ANGINA PECTORIS INVERSA ,EI AHTAUMAA",Prinzmetal angina
4269X,16,0.00400%,SYDÄMEN MUU JOHTUMISHÄRIÖ,"Conduction disorder, unspecified"
4410B,16,0.00400%,DISSECATIO AORTAE SINE ANEURYSMATE,Dissecting aneurysm of aorta
4423A,16,0.00400%,ANEURYSMA ARTERIAE EXTREMITATIS INFERIORIS,Aneurysm of artery of lower extremity
4598X,16,0.00400%,MORBI SYSTEMATIS CIRCULATIONIS ALIA DEFINITA,Other specified disorders of circulatory system
4612A,16,0.00400%,SINUITIS ETHMOIDALIS ACUTA,Acute ethmoidal sinusitis
4721A,16,0.00400%,PHARYNGITIS CHRONICA,Chronic pharyngitis
4733A,16,0.00400%,SINUITIS SPHENOIDALIS CHRONICA,Chronic sphenoidal sinusitis
5300A,16,0.00400%,ACHALASIA ET CARDIOSPASMUS,Achalasia and cardiospasm
5321E,16,0.00400%,"ULCUS PYLORI ,OBSTRUKTIO",Acute duodenal ulcer with perforation
5678X,16,0.00400%,PERITONITIS ALIA DEFINITA,Other specified peritonitis
5679X,16,0.00400%,PERITONITIS NUD,Unspecified peritonitis
5765A,16,0.00400%,SPASMUS SPHINCTERIS ODDI,Spasm of sphincter of Oddi
5821A,16,0.00400%,"GLOMERULONEPHRITIS CHRONICA MEMBRANACEA,EI NEFR SDR",Chronic glomerulonephritis with lesion of membranous glomerulonephritis
5870A,16,0.00400%,SCLEROSIS RENALIS SECUNDARIA NUD,"Renal sclerosis, unspecified"
5934A,16,0.00400%,OBSTRUCTIO URETERIS ALIA,Other ureteric obstruction
5938A,16,0.00400%,URETEROCELE,Other specified disorders of kidney and ureter
5939X,16,0.00400%,MORBI RENIS ET URETERI NUD,Unspecified disorder of kidney and ureter
5981A,16,0.00400%,STRICTURA URETHRAE TRAUMATICA,Traumatic urethral stricture
5992A,16,0.00400%,DIVERTICULUM URETHRAE,Urethral diverticulum
6230A,16,0.00400%,DYSPLASIA VAGINAE LEVIS,Dysplasia of vagina
6299X,16,0.00400%,ALII MORBI GENITALIUM MULIERIS,Unspecified disorder of female genital organs
6410B,16,0.00400%,"PLACENTA PRAEVIA SINE HAEMORRHAGIA,SYNN PÄÄT HOITOJ",Placenta previa without hemorrhage
6569A,16,0.00400%,"SIKIÖN/IST HÄIR NUD, ÄIDIN TUTK TAI HOITO,RASK AIK",Unspecified fetal and placental problem affecting management of mother
6698X,16,0.00400%,MUUT SYNNYTYSKOMPLIKAATIO,Other complications of labor and delivery
6742A,16,0.00400%,RUPTURA CICATRICIS PERINEALIS,Disruption of obstetrical perineal wound
6924D,16,0.00400%,DERMATITIS ARTEFACTA E CHEMICALIBUS GUMMI ALLERGICA,Contact dermatitis and other eczema due to other chemical products
6928B,16,0.00400%,DERMATITIS ARTEFACTA E COSMETICA ALLERGICA,Contact dermatitis and other eczema due to other specified agents
6940A,16,0.00400%,DERMATITIS HERPETIFORMIS,Dermatitis herpetiformis
6984A,16,0.00400%,LICHENIFICATIO ET DERMATITIS ARTEFACTA,Dermatitis factitia [artefacta]
7104A,16,0.00400%,POLYMYOSITIS,Polymyositis
7183G,16,0.00400%,"LUXATIO HABITUALIS, NILKKA",Recurrent dislocation of joint
7294A,16,0.00400%,FASCITIS NUD,"Fasciitis, unspecified"
7442B,16,0.00400%,MICROTIA,Other specified congenital anomalies of ear
7560A,16,0.00400%,CRANIOSYNOSTOSIS,Anomalies of skull and face bones
7786A,16,0.00400%,HYDROCELE CONGENITA,Congenital hydrocele
7951A,16,0.00400%,EPÄSPESIFINEN POIKKEAVA MUU SYTOLOGIA,Abnormal Papanicolaou smear of vagina and vaginal HPV
7969X,16,0.00400%,MUUT EPÄSPESIFIT POIKKEAVUUDET,Other nonspecific abnormal findings
