ICD9	ICD9LYH	ICD9TXT
7181A	NIVELHIIRI,OLKANIV	NIVELHIIRI,OLKANIVEL
7181B	NIVELHIIRI,KYYNÄRNIV	NIVELHIIRI,KYYNÄRNIVEL
7181C	NIVELHIIRI,RANNE	NIVELHIIRI,RANNE
7181D	NIVELHIIRI,KÄSI	NIVELHIIRI,KÄSI
7181E	NIVELHIIRI,LONKKANIV	NIVELHIIRI,LONKKANIVEL
7181G	NIVELHIIRI,NILKKA	NIVELHIIRI,NILKKA
7181H	NIVELHIIRI,JALKATERÄ	NIVELHIIRI,JALKATERÄ
7181K	NIVELHIIRI,MUU NIVEL	NIVELHIIRI,MUU NIVEL
7181L	NIVELHIIRI,USEAT NIV	NIVELHIIRI,USEAT NIVELET
7181X	NIVELHIIRI,MÄÄRITTEL	NIVELHIIRI,MÄÄRITTELEMÄTÖN
7182A	DISLOC SPONT,OLKANIV	DISLOCATIO SPONTANEA, OLKANIVEL
7182B	DISLOC SPONT,KYYNÄRN	DISLOCATIO SPONTANEA, KYYNÄRNIVEL
7182C	DISLOC SPONT,RANNE	DISLOCATIO SPONTANEA, RANNE
7182D	DISLOC SPONT,KÄSI	DISLOCATIO SPONTANEA, KÄSI
7182E	DISLOC SPONT,LONKKAN	DISLOCATIO SPONTANEA, LONKKANIVEL
7182F	DISLOC SPONT,POLVI	DISLOCATIO SPONTANEA, POLVI
7182G	DISLOC SPONT,NILKKA	DISLOCATIO SPONTANEA, NILKKA
7182H	DISLOC SPONT,JALKAT	DISLOCATIO SPONTANEA, JALKATERÄ
7182K	DISLOC SPONT,MUU NIV	DISLOCATIO SPONTANEA, MUU NIVEL
7182L	DISLOC SPONT,US NIV	DISLOCATIO SPONTANEA, USEAT NIVELET
7182X	DISLOC SPONT,MÄÄRIT	DISLOCATIO SPONTANEA, MÄÄRITTELEMÄTÖN
7183A	LUXAT HABIT,OLKANIV	LUXATIO HABITUALIS, OLKANIVEL
7183B	LUXAT HABIT,KYYNÄRN	LUXATIO HABITUALIS, KYYNÄRNIVEL
7183C	LUXAT HABIT,RANNE	LUXATIO HABITUALIS, RANNE
7183D	LUXAT HABIT,KÄSI	LUXATIO HABITUALIS, KÄSI
7183E	LUXAT HABIT,LONKKAN	LUXATIO HABITUALIS, LONKKANIVEL
7183F	LUXAT HABIT,POLVI	LUXATIO HABITUALIS, POLVI
7183G	LUXAT HABIT,NILKKA	LUXATIO HABITUALIS, NILKKA
7183H	LUXAT HABIT,JALKAT	LUXATIO HABITUALIS, JALKATERÄ
7183K	LUXAT HABIT,MUU NIV	LUXATIO HABITUALIS, MUU NIVEL
7183L	LUXAT HABIT,US NIV	LUXATIO HABITUALIS, USEAT NIVELET
7183X	LUXAT HABIT,MÄÄRIT	LUXATIO HABITUALIS, MÄÄRITTELEMÄTÖN
7184A	CONTRACTURA,OLKANIV	CONTRACTURA, OLKANIVEL
7184B	CONTRACTURA,KYYNÄRN	CONTRACTURA, KYYNÄRNIVEL
7184C	CONTRACTURA,RANNE	CONTRACTURA, RANNE
7184D	CONTRACTURA,KÄSI	CONTRACTURA, KÄSI
7184E	CONTRACTURA,LONKKAN	CONTRACTURA, LONKKANIVEL
7184F	CONTRACTURA,POLVI	CONTRACTURA, POLVI
7184G	CONTRACTURA,NILKKA	CONTRACTURA, NILKKA
7184H	CONTRACTURA,JALKATER	CONTRACTURA, JALKATERÄ
7184K	CONTRACTURA,MUU NIV	CONTRACTURA, MUU NIVEL
7184L	CONTRACTURA,US NIV	CONTRACTURA, USEAT NIVELET
7184X	CONTRACTURA,MÄÄRIT	CONTRACTURA, MÄÄRITTELEMÄTÖN
7185A	ANKYLOSIS,OLKANIVEL	ANKYLOSIS, OLKANIVEL
7185B	ANKYLOSIS,KYYNÄRNIV	ANKYLOSIS, KYYNÄRNIVEL
7185C	ANKYLOSIS,RANNE	ANKYLOSIS, RANNE
7185D	ANKYLOSIS,KÄSI	ANKYLOSIS, KÄSI
7185E	ANKYLOSIS,LONKKANIV	ANKYLOSIS, LONKKANIVEL
7185F	ANKYLOSIS,POLVI	ANKYLOSIS, POLVI
7185G	ANKYLOSIS,NILKKA	ANKYLOSIS, NILKKA
7185H	ANKYLOSIS,JALKATERÄ	ANKYLOSIS, JALKATERÄ
7185K	ANKYLOSIS,MUU NIVEL	ANKYLOSIS, MUU NIVEL
7185L	ANKYLOSIS,USEAT NIV	ANKYLOSIS, USEAT NIVELET
7185X	ANKYLOSIS,MÄÄRITTEL	ANKYLOSIS, MÄÄRITTELEMÄTÖN
7186E	INTRUSIO ACETABULI	INTRUSIO ACETABULI
7188A	MB ART/LIG AL,OLKANI	MB ARTICULI, LIGAM ET CARTILAG AL DEF,OLKANIVEL
7188B	MB ART/LIG AL,KYYNIV	MB ARTICULI, LIGAM ET CARTILAG AL DEF,KYYNÄRNIVEL
7188C	MB ART/LIG AL,RANNE	MB ARTICULI, LIGAM ET CARTILAG AL DEF,RANNE
7188D	MB ART/LIG AL,KÄSI	MB ARTICULI, LIGAM ET CARTILAG AL DEF,KÄSI
7188E	MB ART/LIG AL,LONKKA	MB ARTICULI, LIGAM ET CARTILAG AL DEF,LONKKANIVEL
7188F	MB ART/LIG AL,POLVI	MB ARTICULI, LIGAM ET CARTILAG AL DEF,POLVI
7188G	MB ART/LIG AL,NILKKA	MB ARTICULI, LIGAM ET CARTILAG AL DEF,NILKKA
7188H	MB ART/LIG AL,JALKAT	MB ARTICULI, LIGAM ET CARTILAG AL DEF,JALKATERÄ
7188K	MB ART/LIG AL,MUU NI	MB ARTICULI, LIGAM ET CARTILAG AL DEF,MUU NIVEL
7188L	MB ART/LIG AL,US NIV	MB ARTICULI, LIGAM ET CARTILAG AL DEF,USEAT NIVELET
7188X	MB ART/LIG AL,MÄÄRIT	MB ARTICULI, LIGAM ET CARTILAG AL DEF,MÄÄRITTELEMÄT
7189A	MB ART/LIG NU,OLKANI	MB ARTICULI, LIGAM ET CARTILAG NUD,OLKANIVEL
7189B	MB ART/LIG NU,KYYNIV	MB ARTICULI, LIGAM ET CARTILAG NUD,KYYNÄRNIVEL
7189C	MB ART/LIG NU,RANNE	MB ARTICULI, LIGAM ET CARTILAG NUD,RANNE
7189D	MB ART/LIG NU,KÄSI	MB ARTICULI, LIGAM ET CARTILAG NUD,KÄSI
7189E	MB ART/LIG NU,LONKKA	MB ARTICULI, LIGAM ET CARTILAG NUD,LONKKANIVEL
7189F	MB ART/LIG NU,POLVI	MB ARTICULI, LIGAM ET CARTILAG NUD,POLVI
7189G	MB ART/LIG NU,NILKKA	MB ARTICULI, LIGAM ET CARTILAG NUD,NILKKA
7189H	MB ART/LIG NU,JALKAT	MB ARTICULI, LIGAM ET CARTILAG NUD,JALKATERÄ
7189K	MB ART/LIG NU,MUU NI	MB ARTICULI, LIGAM ET CARTILAG NUD,MUU NIVEL
7189L	MB ART/LIG NU,US NIV	MB ARTICULI, LIGAM ET CARTILAG NUD,USEAT NIVELET
7189X	MB ART/LIG NU,MÄÄRIT	MB ARTICULI, LIGAM ET CARTILAG NUD,MÄÄRITTELEMÄTÖN
719	AL MORBI ARTICULORUM	ALII MORBI ARTICULORUM
7190A	HYDROPS,OLKANIVEL	HYDROPS (HYDRARTHRON), OLKANIVEL
7190B	HYDROPS,KYYNÄRNIVEL	HYDROPS (HYDRARTHRON), KYYNÄRNIVEL
7190C	HYDROPS,RANNE	HYDROPS (HYDRARTHRON), RANNE
7190D	HYDROPS,KÄSI	HYDROPS (HYDRARTHRON), KÄSI
7190E	HYDROPS,LONKKANIVEL	HYDROPS (HYDRARTHRON), LONKKANIVEL
7190F	HYDROPS,POLVI	HYDROPS (HYDRARTHRON), POLVI
7190G	HYDROPS,NILKKA	HYDROPS (HYDRARTHRON), NILKKA
7190H	HYDROPS,JALKATERÄ	HYDROPS (HYDRARTHRON), JALKATERÄ
7190K	HYDROPS,MUU NIVEL	HYDROPS (HYDRARTHRON), MUU NIVEL
7190L	HYDROPS,USEAT NIVEL	HYDROPS (HYDRARTHRON), USEAT NIVELET
7190X	HYDROPS,MÄÄRITTELEM	HYDROPS (HYDRARTHRON), MÄÄRITTELEMÄTÖN
7191A	HAEMARTHRON,OLKANIV	HAEMARTHRON, OLKANIVEL
7191B	HAEMARTHRON,KYYNÄRN	HAEMARTHRON, KYYNÄRNIVEL
7191C	HAEMARTHRON,RANNE	HAEMARTHRON, RANNE
7191D	HAEMARTHRON,KÄSI	HAEMARTHRON, KÄSI
7191E	HAEMARTHRON,LONKKAN	HAEMARTHRON, LONKKANIVEL
7191F	HAEMARTHRON,POLVI	HAEMARTHRON, POLVI
7191G	HAEMARTHRON,NILKKA	HAEMARTHRON, NILKKA
7191H	HAEMARTHRON,JALKATER	HAEMARTHRON, JALKATERÄ
7191K	HAEMARTHRON,MUU NIV	HAEMARTHRON, MUU NIVEL
7191L	HAEMARTHRON,US NIVEL	HAEMARTHRON, USEAT NIVELET
7191X	HAEMARTHRON,MÄÄRIT	HAEMARTHRON, MÄÄRITTELEMÄTÖN
7192A	SYN VILLONOD,OLKANIV	SYNOVITIS VILLONODULARIS, OLKANIVEL
7192B	SYN VILLONOD,KYYNÄRN	SYNOVITIS VILLONODULARIS, KYYNÄRNIVEL
7192C	SYN VILLONOD,RANNE	SYNOVITIS VILLONODULARIS, RANNE
7192D	SYN VILLONOD,KÄSI	SYNOVITIS VILLONODULARIS, KÄSI
7192E	SYN VILLONOD,LONKKAN	SYNOVITIS VILLONODULARIS, LONKKANIVEL
7192F	SYN VILLONOD,POLVI	SYNOVITIS VILLONODULARIS, POLVI
7192G	SYN VILLONOD,NILKKA	SYNOVITIS VILLONODULARIS, NILKKA
7192H	SYN VILLONOD,JALKATE	SYNOVITIS VILLONODULARIS, JALKATERÄ
7192K	SYN VILLONOD,MUU NIV	SYNOVITIS VILLONODULARIS, MUU NIVEL
7192L	SYN VILLONOD,US NIV	SYNOVITIS VILLONODULARIS, USEAT NIVELET
7192X	SYN VILLONOD,MÄÄRIT	SYNOVITIS VILLONODULARIS, MÄÄRITTELEMÄTÖN
7193A	HYDRARTR INTM,OLKANI	HYDRARTHROSIS INTERMITTENS, OLKANIVEL
7193B	HYDRARTR INTM,KYYNNI	HYDRARTHROSIS INTERMITTENS, KYYNÄRNIVEL
7193C	HYDRARTR INTM,RANNE	HYDRARTHROSIS INTERMITTENS, RANNE
7193D	HYDRARTR INTM,KÄSI	HYDRARTHROSIS INTERMITTENS, KÄSI
7193E	HYDRARTR INTM,LONKKA	HYDRARTHROSIS INTERMITTENS, LONKKANIVEL
7193F	HYDRARTR INTM,POLVI	HYDRARTHROSIS INTERMITTENS, POLVI
7193G	HYDRARTR INTM,NILKKA	HYDRARTHROSIS INTERMITTENS, NILKKA
7193H	HYDRARTR INTM,JALKAT	HYDRARTHROSIS INTERMITTENS, JALKATERÄ
7193K	HYDRARTR INTM,MUU NI	HYDRARTHROSIS INTERMITTENS, MUU NIVEL
7193L	HYDRARTR INTM,US NIV	HYDRARTHROSIS INTERMITTENS, USEAT NIVELET
7193X	HYDRARTR INTM,MÄÄRIT	HYDRARTHROSIS INTERMITTENS, MÄÄRITTELEMÄTÖN
7198A	MB ARTIC AL,OLKANIVE	MB ARTICULI ALIA DEFINITA,
7198B	MB ARTIC AL,KYYNÄRNI	MB ARTICULI ALIA DEFINITA,
7198C	MB ARTIC AL,RANNE	MB ARTICULI ALIA DEFINITA,
7198D	MB ARTIC AL,KÄSI	MB ARTICULI ALIA DEFINITA,
7198E	MB ARTIC AL,LONKKANI	MB ARTICULI ALIA DEFINITA,
7198F	MB ARTIC AL,POLVI	MB ARTICULI ALIA DEFINITA,
7198G	MB ARTIC AL,NILKKA	MB ARTICULI ALIA DEFINITA,
7198H	MB ARTIC AL,JALKATE	MB ARTICULI ALIA DEFINITA,
7198K	MB ARTIC AL,MUU NIV	MB ARTICULI ALIA DEFINITA,
7198L	MB ARTIC AL,US NIV	MB ARTICULI ALIA DEFINITA,
7198X	MB ARTIC AL,MÄÄRIT	MB ARTICULI ALIA DEFINITA,
7199A	MB ARTIC NUD,OLKANIV	MB ARTICULI NUD,OLKANIVEL
7199B	MB ARTIC NUD,KYYNÄRN	MB ARTICULI NUD,KYYNÄRNIVEL
7199C	MB ARTIC NUD,RANNE	MB ARTICULI NUD,RANNE
7199D	MB ARTIC NUD,KÄSI	MB ARTICULI NUD,KÄSI
7199E	MB ARTIC NUD,LONKKAN	MB ARTICULI NUD,LONKKANIVEL
7199F	MB ARTIC NUD,POLVI	MB ARTICULI NUD,POLVI
7199G	MB ARTIC NUD,NILKKA	MB ARTICULI NUD,NILKKA
7199H	MB ARTIC NUD,JALKATE	MB ARTICULI NUD,JALKATERÄ
7199K	MB ARTIC NUD,MUU NIV	MB ARTICULI NUD,MUU NIVEL
7199L	MB ARTIC NUD,US NIV	MB ARTICULI NUD,USEAT NIVELET
7199X	MB ARTIC NUD,MÄÄRIT	MB ARTICULI NUD,MÄÄRITTELEMÄTÖN
720	SPONDYLIT ANKYLOPOET	SPONDYLITIS ANKYLOPOETICA ET ALIAE
7200A	MORBUS BECHTEREW	SPONDYLARTHRITIS ANKYLOPOETICA, MORBUS BECHTEREW
7202A	SACROILIITIS NUD	SACROILIITIS NUD
7208A	SPONDYLITIS PURULENT	SPONDYLITIS PURULENTA
7209X	SPONDYLITIS NUD	SPONDYLITIS NUD
721	SPONDYLARTHROS/SIMIL	SPONDYLARTHROSIS ET MORBI SIMILES
7210A	SPONDARTR CER-MYEPAT	SPONDYLARTHROSIS CERVICALIS SINE MYELOPATHIA
7211A	SPONDARTR CER+MYEPAT	SPONDYLARTHROSIS CERVICALIS CUM MYELOPATHIA
7212A	SPONDARTR TH-MYELPAT	SPONDYLARTHROSIS THORACALIS SINE MYELOPATHIA
7212B	SPONDARTR TH+MYELPAT	SPONDYLARTHROSIS THORACALIS CUM MYELOPATHIA
7213A	SPONDARTR LUM-MYEPAT	SPONDYLARTHROSIS LUMBOSACRALIS SINE MYELOPATHIA
7214A	SPONDARTR LUM+MYEPAT	SPONDYLARTHROSIS LUMBOSACRALIS CUM MYELOPATHIA
7215A	KISSING SPINE	"""KISSING SPINE"" (SYNDROMA BAASTRUP)"
7216A	HYPEROST VERT ANKYL	HYPEROSTOSIS VERTEBRALIS ANKYLOTICA
7218X	SPONDYLARTHROSIS AL	SPONDYLARTHROSIS ALIA
7219X	SPONDYLARTHROSIS NUD	SPONDYLARTHROSIS NUD
722	MB DISC INTERVERTEBR	MORBI DISCORUM INTERVERTEBRALIUM
7220A	PROL DISC CERV-MYPAT	PROLAPSUS DISCI INTERVERT CERV, SINE MYELO/RHIZOPAT
7221A	PROL DISC THOR-MYPAT	PROLAPSUS DISCI INTERVERT THOR, SINE MYELO/RHIZOPAT
7223A	NODI SCHMORL	NODI SCHMORL
7224A	DEGEN DISCI CERV	DEGENERATIO DISCI INTERVERTEBRALIS CERVICALIS
7224B	DEG DISC CERV INSTAB	DEGENERATIO DISCI INTERVERTEBRALIS CERVICALIS INST
7225A	DEG DISC THOR/LUMBOS	DEGENERATIO DISCI INTERVERTEBRALIS THORAC SEU LUMB
7225B	DEG DIS TH/LUMB INST	DEGEN DISCI INTERVERT THORAC SEU LUMBOSACR CUM INST
7226X	DEG DISC INTERV NUD	DEGENERATIO DISCI INTERVERTABRALIS NUD
7227A	CERV VÄLILTYR+JUURIO	KAULANIKAMAN VÄLILEVYTYRÄ JUURIOIREINEEN
7227B	THOR VÄLILTYR+JUURIO	RINTANIKAMAN VÄLILEVYTYRÄ JUURIOIREINEEN
7227C	SYNDROMA ISCHIADICUM	SYNDROMA ISCHIADICUM
7228A	SDR CERV POST LAMINE	SYNDROMA CERVICALE POSTLAMINECTOMIAM
7228B	SDR THOR POST LAMINE	SYNDROMA THORACALE POSTLAMINECTOMIAM
7228C	SDR LS POST LAMINECT	SYNDROMA LUMBOSACRALE POSTLAMINECTOMIAM
7229X	MB DISC INTERVERT NU	MORBUS DISCI INTERVERTEBRALIS NUD
723	AL MB REG CERVICALIS	ALII MORBI REGIONIS CERVICALIS
7230A	STENOS CAN SPIN CERV	STENOSIS CANALIS SPINALIS CERVICALIS
7230B	SUBLUX ATLANTO-AXIAL	SUBLUXATIO ATLANTO-AXIALIS
7231A	CERVICALGIA	CERVICALGIA
7232A	SDR CERVICOCRANIALE	SYNDROMA CERVICOCRANIALE
7233A	SDR CERVICOBRAC DIFF	SYNDROMA CERVICOBRACHIALE DIFFUSUM
7234A	SDR RADICULARE BRACH	SYNDROMA RADICULARE BRACHII
7235A	TORTICOLLIS	TORTICOLLIS
7238X	MB REG CERV ALIA	MB REGIONIS CERVICALIS ALIA DEFINITA
7239X	MB REG CERV NUD	MB REGIONIS CERVICALIS NUD
724	MUUT SELKÄR SAIR/KIV	MUUT SELKÄRANGAN SAIRAUDET JA KIPUTILAT
7240A	STENOS CAN SPIN THOR	STENOSIS CANALIS SPINALIS THORACALIS
7240B	STENOS CAN SPIN LUMB	STENOSIS CANALIS SPINALIS LUMBOSACRALIS
7241A	DOLOR COLUMN THORAC	DOLORES COLUMNAE THORACALIS
7242A	LUMBAGO	LUMBAGO
7244A	SDR RADIC THOR/LUMB	SYNDROMA RADICULARE THORACALIS SEU LUMBOSACRALIS
7245A	LUMBALGIA NUD	LUMBALGIA NUD
7246A	MB ART SACIL NONINFL	MORBI ARTICULI SACROILIACALIS NONINFLAMMATORII
7247A	MB COCCYGIS,NONTRAUM	MORBI COCCYGIS (NONTRAUMATICI)
7248X	MUUT SELÄN SAIRAUDET	MUUT SELÄN SAIRAUDET
7249X	SELÄN SAIRAUDET NUD	SELÄN SAIRAUDET NUD
725	POLYMYALGIA RHEUMAT	POLYMYALGIA RHEUMATICA
7250A	POLYMYALGIA RHEUMAT	POLYMYALGIA RHEUMATICA
726	ENTHESOPAT PERIPHER	ENTHESOPATHIA PERIPHERICA
7260A	CAPSULI ADH HUMEROSC	CAPSULITIS ADHESIVA HUMEROSCAPULARIS
7261A	TENDIN CALC HUMEROSC	TENDINITIS CALCIFICANS HUMEROSCAPULARIS
7261B	BURSIT CALC HUMEROSC	BURSITIS CALCAREA HUMEROSCAPULARIS
7261C	TENOSYN BICIP BRACHI	TENOSYNOVITIS BICIPITIS BRACHII
7261X	MUU KIERTÄJÄKALVSDR	MUU TAI TARKEMMIN MÄÄRITTELEM KIERTÄJÄKALVOSINSDR
7263A	EPICONDYLIT LAT HUM	EPICONDYLITIS LATERALIS HUMERI
7263B	EPICONDYLIT MED HUM	EPICONDYLITIS MEDIALIS HUMERI
7263C	BURSITIS OLECRANI	BURSITIS OLECRANI
7263X	ENTHESOPAT OLECR AL	ENTHESOPATHIA OLECRANI ALIA SEU NUD
7264A	ENTHESOPATHIA CARPI	ENTHESOPATHIA CARPI
7265A	BURSITIS TROCHANTER	BURSITIS TROCHANTERICA
7265B	COXA SALTANS	COXA SALTANS
7265X	ENTHESOPAT COXAE AL	ENTHESOPATHIA COXAE ALIA SEU NUD
7266A	BURSITIS PED ANSER	BURSITIS PEDIS ANSERINI
7266B	TEN/BUR LIG GE CO ME	TENDINITIS SEU BURSITIS REGIONIS LIG GENUS COLL MED
7266C	TEN/BUR LIG GE CO LA	TENDINITIS SEU BURSITIS REGIONIS LIG GENUS COLL LAT
7266D	TENDIN/APICIT PATEL	TENDINITIS SEU APICITIS PATELLAE
7266E	BURSITIS PRAEPATELL	BURSITIS PRAEPATELLARIS
7266F	TENDINIT M QUADRIC	TENDINITIS MUSCULI QUADRICIPITIS
7266G	SDR TRACTUS ILIOTIB	SDR TRACTUS ILIOTIBIALE
7266X	ENTHESOPAT GEN AL/NU	ENTHESOPATHIA GENUS ALIA DEFINITA SEU NUD
7267A	TENDINIT/BURS ACHILL	TENDINITIS SEU BURSITIS ACHILLIS
7267B	TENDINIT TIB ANT+POS	TENDINITIS TIBIALIS ANTERIORIS ET POSTERIORIS
7267C	CALCANEODYNIA	CALCANEODYNIA
7267X	ENTHESOPAT TARSI AL	ENTHESOPATHIA TARSI ALIA SEU NUD
7268X	ENTESOPAT PERIPH AL	ENTESOPATHIA PERIPHERICA ALIA DEFINITA
7269X	ENTESOPAT PERIPH NU	ENTESOPATHIA PERIPHERICA NUD
727	AL MB SYNOV/TEND/BUR	ALII MORBI SYNOVIAE, TENDINIS ET BURSAE
7270A	TENOSYNOVIT STYL RAD	TENOSYNOVITIS STYLOIDEI RADII (QUERVAIN)
7270B	TENOSYN CARP/ANTEBRA	TENOSYNOVITIS CARPI ET ANTEBRACHII
7270C	TENOSYNOVIT TARS/TIB	TENOSYNOVITIS TARSI ET TIBIAE
7270X	TENOSYNOVIT ALIA LOC	TENOSYNOVITIS ALIA LOCO DEFINITO
7271A	BUNIO	BUNIO
7273A	BURSITIS ALIA	BURSITIS ALIA
7274A	GANGLION CARPI	GANGLION CARPI
7274X	GANGLION ALIUD LOCO	GANGLION ALIUD LOCO DEFINITO
7275A	CYSTA BAKER	CYSTA BAKER
7275X	CYSTA SYNOVIAL ALIA	CYSTA SYNOVIALIS ALIA LOCO DEFINITO
7276A	RUPT NONTR BIC BRACH	RUPTURA NONTRAUM BICIPITIS BRACHII
7276B	RUP NONT TEN EX MANU	RUPTURA NONTRAUMATICA TENDINIS EXT MANUS ET CARP
7276C	RUP NONT TEN FLE MAN	RUPTURA NONTRAUM TEND FLEX MANUS ET CARPI
7276D	RUP NONT TEN QUADRIC	RUPTURA NONTRAUM TENDINIS MUSCULI QUADRICIPITIS
7276E	RUP NONT TEN PATELLA	RUPTURA NONTRAUMATICA TENDINIS PATELLAE
7276F	RUP NONT TEND ACHILL	RUPTURA NONTRAUMATICA TENDINIS ACHILLEI
7276G	RUP NONT TEND AL PED	RUPTURA NONTRAUM TENDINIS ALIA PEDIS ET TARSI
7276X	RUP NONT TEND ALIA	RUPTURA NONTRAUMATICA TENDINIS ALIA
7278X	MB SYNOV/TEND/BUR AL	MB SYNOVIAE, TENDINIS ET BURSAE ALIA DEFINITA
7279X	MB SYNOV/TEND/BUR NU	MB SYNOVIAE, TENDINIS ET BURSAE NUD
728	MB MUSC/LIGAM/FASCIA	MORBI MUSCULI, LIGAMENTI ET FASCIAE
7280A	MYOSITIS INFECTIOSA	MYOSITIS INFECTIOSA
7281A	MYOSITIS PROGR OSSIF	MYOSITIS PROGRESSIVA OSSIFICANS
7281B	CALCIF HETER POSTOP	CALCIFICATIO HETEROTOPICA POSTOPERATIVA
7281X	CALCIF/OSSIF MUSC AL	CALCIFICATIO ET OSSIFICATIO MUSCULI ALIA
7282A	ATROPHIA MUSCUL NUD	ATROPHIA MUSCULORUM NUD
7283X	MORBI MUSCULI ALII	MORBI MUSCULI ALII
7284A	LIGAMENTA LAXA	LIGAMENTA LAXA
7286A	CONTRACTUR DUPUYTREN	CONTRACTURA FASCIAE PALMARIS (DUPUYTREN)
7287A	CONTRACT FASC PLANT	CONTRACTURA FASCIAE PLANTARIS
7287X	FIBROMAT AL MUSC/LIG	FIBROMATOSIS ALIA MUSCULI,LIGAMENTI ET FASCIAE
7288A	SDR TIBIALE	SYNDR TIBIALE, PENIKKATAUTI
7288X	MB MUSC/LIG/FASC AL	MORBI MUSCULI, LIGAMENTI ET FASCIAE ALIA DEFINITA
7289X	MB MUSC/LIG/FASC NUD	MORBI MUSCULI, LIGAMENTI ET FASCIAE NUD
729	AL MB TEL CONJUNCTIV	ALII MORBI TELAE CONJUNCTIVAE
7290A	FIBROSITIS	FIBROSITIS
7291A	MYALGIA NUD	MYALGIA NUD
7292A	NEURALGIA NUD	NEURALGIA NUD
7293A	LIPOSYNOVIT INFRAPAT	LIPOSYNOVITIS INFRAPATELLARIS (MORBUS HOFFA)
7293X	PANNICULITIS NUD	PANNICULITIS NUD
7294A	FASCITIS NUD	FASCITIS NUD
7296A	PEHMOS VIERASES VANH	PEHMYTOSIEN VIERASESINE (VANHA)
7298X	MUU PEHMYTOSAN SAIR	MUU PEHMYTOSIEN SAIRAUS
7299X	PEHMYTOSAN SAIR NUD	PEHMYTOSIEN SAIRAUS NUD
730	OSTEOMYELIT/PERI/OST	OSTEOMYELITIS, PERIOSTITIS ET OSTEITIS
7300A	OSTEOMYEL AC,OLKANIV	OSTEOMYELITIS ACUTA,OLKANIVELEN SEUTU
7300B	OSTEOMYEL AC,OLKAVA	OSTEOMYELITIS ACUTA,OLKAVARSI
7300C	OSTEOMYEL AC,KYYNÄVA	OSTEOMYELITIS ACUTA,KYYNÄRVARSI
7300D	OSTEOMYEL AC,KÄSI	OSTEOMYELITIS ACUTA,KÄSI
7300E	OSTEOMYEL AC,LAN/REI	OSTEOMYELITIS ACUTA,LANTIONSEUTU JA REISI
7300F	OSTEOMYEL AC,SÄÄRI	OSTEOMYELITIS ACUTA,SÄÄRI- JA POHJELUU
7300G	OSTEOMYEL AC,NIL/JAL	OSTEOMYELITIS ACUTA,NILKKA JA JALKA
7300H	OSTEOMYEL AC,MUU MÄÄ	OSTEOMYELITIS ACUTA,MUU MÄÄRITELTY SIJAINTI
7300K	OSTEOMYEL AC,MULTIP	OSTEOMYELITIS ACUTA,MULTIPPELI LOKALISAATIO
7300X	OSTEOMYEL AC,MÄÄRIT	OSTEOMYELITIS ACUTA,TARKEMMIN MÄÄRITTELEMÄTÖN
7301A	OSTEOMYEL CH,OLKANIV	OSTEOMYELITIS CHRONICA,OLKANIVELEN SEUTU
7301B	OSTEOMYEL CH,OLKAVA	OSTEOMYELITIS CHRONICA,OLKAVARSI
7301C	OSTEOMYEL CH,KYYNÄVA	OSTEOMYELITIS CHRONICA,KYYNÄRVARSI
7301D	OSTEOMYEL CH,KÄSI	OSTEOMYELITIS CHRONICA,KÄSI
7301E	OSTEOMYEL CH,LAN/REI	OSTEOMYELITIS CHRONICA,LANTIONSEUTU JA REISI
7301F	OSTEOMYEL CH,SÄÄRI	OSTEOMYELITIS CHRONICA,SÄÄRI- JA POHJELUU
7301G	OSTEOMYEL CH,NIL/JAL	OSTEOMYELITIS CHRONICA,NILKKA JA JALKA
7301H	OSTEOMYEL CH,MUU MÄÄ	OSTEOMYELITIS CHRONICA,MUU MÄÄRITELTY SIJAINTI
7301K	OSTEOMYEL CH,MULTIP	OSTEOMYELITIS CHRONICA,MULTIPPELI LOKALISAATIO
7301X	OSTEOMYEL CH,MÄÄRIT	OSTEOMYELITIS CHRONICA,TARKEMMIN MÄÄRITTELEMÄTÖN
7302A	OSTEOMYEL ND,OLKANIV	OSTEOMYELITIS NON DEFINITA, OLKANIVELEN SEUTU
7302B	OSTEOMYEL ND,OLKAVA	OSTEOMYELITIS NON DEFINITA, OLKAVARSI
7302C	OSTEOMYEL ND,KYYNÄVA	OSTEOMYELITIS NON DEFINITA, KYYNÄRVARSI
7302D	OSTEOMYEL ND,KÄSI	OSTEOMYELITIS NON DEFINITA, KÄSI
7302E	OSTEOMYEL ND,LAN/REI	OSTEOMYELITIS NON DEFINITA, LANTIONSEUTU JA REISI
7302F	OSTEOMYEL ND,SÄÄRI	OSTEOMYELITIS NON DEFINITA, SÄÄRI- JA POHJELUU
7302G	OSTEOMYEL ND,NIL/JAL	OSTEOMYELITIS NON DEFINITA, NILKKA JA JALKA
7302H	OSTEOMYEL ND,MUU MÄÄ	OSTEOMYELITIS NON DEFINITA, MUU MÄÄRITELTY SIJAINTI
7302K	OSTEOMYEL ND,MULTIP	OSTEOMYELITIS NON DEFINITA, MULTIPPELI LOKALISAATIO
7302X	OSTEOMYEL ND,MÄÄRIT	OSTEOMYELITIS NON DEFINITA, TARKEMMIN MÄÄRITTELEMÄT
7303A	PERIOSTITIS,OLKANIV	PERIOSTITIS, OLKANIVELEN SEUTU
7303B	PERIOSTITIS,OLKAVA	PERIOSTITIS, OLKAVARSI
