ICD9,ICD9LYH,ICD9TXT,ICD9CM,concept_name,ICD9CD_match_level,code_matched_to,Wolfbane_name,match_type,suspected_mistake
6464A,NEURIT PERIPH GRAVID,NEURITIS PERIPHERICA IN GRAVIDITATE,646.4,Peripheral neuritis in pregnancy,4_digit_level,646.4,"Other complications of pregnancy, not elsewhere classified, Peripheral neuritis in pregnancy",unique_parent_match,0
6465A,BACTERIUR ASY GRAVID,BACTERIURIA ASYMPTOMATICA IN GRAVIDITATE,646.5,Asymptomatic bacteriuria in pregnancy,4_digit_level,646.5,"Other complications of pregnancy, not elsewhere classified, Asymptomatic bacteriuria in pregnancy",unique_parent_match,0
6466A,INF VIA UROGE GRAVID,INFECTIO VIARUM URIGENITALIUM IN GRAVIDITATE,646.6,Infections of genitourinary tract in pregnancy,4_digit_level,646.6,"Other complications of pregnancy, not elsewhere classified, Infections of genito-urinary tract in pregnancy",unique_parent_match,0
6467A,HEPATOSIS GRAVIDARUM,HEPATOSIS GRAVIDARUM,646.7,Liver and biliary tract disorders in pregnancy,4_digit_level,646.7,"Other complications of pregnancy, not elsewhere classified, Liver disorders in pregnancy",parent_match,0
6467X,HEPATOPAT AL GRAVID,HEPATOPATHIA ALIA GRAVIDARUM,646.7,Liver and biliary tract disorders in pregnancy,4_digit_level,646.7,"Other complications of pregnancy, not elsewhere classified, Liver disorders in pregnancy",parent_match,0
6468A,RIITT PAINNOU GRAVID,RIITTÄMÄTÖN PAINONNOUSU RASKAUDEN AIKANA,646.8,Other specified complications of pregnancy,4_digit_level,646.8,"Other complications of pregnancy, not elsewhere classified, Other specified complications of pregnancy",parent_match,0
6468B,LIIKALIHAV GRAVID,RASKAUDENAIKAINEN LIIKALIHAVUUS,646.8,Other specified complications of pregnancy,4_digit_level,646.8,"Other complications of pregnancy, not elsewhere classified, Other specified complications of pregnancy",parent_match,0
6468C,HERPES GESTATIONIS,HERPES GESTATIONIS,646.8,Other specified complications of pregnancy,4_digit_level,646.8,"Other complications of pregnancy, not elsewhere classified, Other specified complications of pregnancy",parent_match,0
6468X,COMPLIC GRAVID AL,COMPLICATIONES GRAVIDITALIS ALIA DEFINITA,646.8,Other specified complications of pregnancy,4_digit_level,646.8,"Other complications of pregnancy, not elsewhere classified, Other specified complications of pregnancy",parent_match,0
6469X,COMPLIC GRAVID NUD,COMPLICATIONES GRAVIDITALIS NUD,646.9,Unspecified complication of pregnancy,4_digit_level,646.9,"Other complications of pregnancy, not elsewhere classified, Unspecified complication of pregnancy",unique_parent_match,0
647,INFECT COMPL GRAVID,"COMPL GRAVID, PARTUS ET PUERPERII MB INFECT AL CAUS",647,"Infectious and parasitic conditions in the mother classifiable elsewhere, but complicating pregnancy, childbirth, or the puerperium",4_digit_level,647,"Infective and parasitic conditions in the mother classifiable elsewhere but complicating pregnancy, childbirth and the puerperium",full_match,0
6470A,SYPHILIS IN GRAVID,SYPHILIS IN GRAVIDITATE,647.0,"Syphilis complicating pregnancy, childbirth, or the puerperium",4_digit_level,647.0,"Infective and parasitic conditions in the mother classifiable elsewhere but complicating pregnancy, childbirth and the puerperium, Syphilis",unique_parent_match,0
6471A,GONORRH IN GRAVIDIT,GONORRHOEA IN GRAVIDITATE,647.1,"Gonorrhea complicating pregnancy, childbirth, or the puerperium",4_digit_level,647.1,"Infective and parasitic conditions in the mother classifiable elsewhere but complicating pregnancy, childbirth and the puerperium, Gonorrhoea",unique_parent_match,0
6472X,MB VENER AL GRAVID,MORBI VENEREI ALII IN GRAVIDITATE,647.2,"Other venereal diseases in the mother complicating pregnancy, childbirth, or the puerperium",4_digit_level,647.2,"Infective and parasitic conditions in the mother classifiable elsewhere but complicating pregnancy, childbirth and the puerperium, Other venereal diseases",unique_parent_match,0
6473A,TUBERCULOS IN GRAVID,TUBERCULOSIS IN GRAVIDITATE,647.3,"Tuberculosis complicating pregnancy, childbirth, or the puerperium",4_digit_level,647.3,"Infective and parasitic conditions in the mother classifiable elsewhere but complicating pregnancy, childbirth and the puerperium, Tuberculosis",unique_parent_match,0
6474A,MALARIA IN GRAVIDIT,MALARIA IN GRAVIDITATE,647.4,"Malaria complicating pregnancy, childbirth, or the puerperium",4_digit_level,647.4,"Infective and parasitic conditions in the mother classifiable elsewhere but complicating pregnancy, childbirth and the puerperium, Malaria",unique_parent_match,0
6475A,RUBELLA IN GRAVIDIT,RUBELLA IN GRAVIDITATE,647.5,"Rubella complicating pregnancy, childbirth, or the puerperium",4_digit_level,647.5,"Infective and parasitic conditions in the mother classifiable elsewhere but complicating pregnancy, childbirth and the puerperium, Rubella",unique_parent_match,0
6476A,VIROSES AL IN GRAVID,VIROSES ALIAE IN  GRAVIDITATE,647.6,"Other viral diseases complicating pregnancy, childbirth, or the puerperium",4_digit_level,647.6,"Infective and parasitic conditions in the mother classifiable elsewhere but complicating pregnancy, childbirth and the puerperium, Other viral diseases",unique_parent_match,0
6478X,INFECT IN GRAVID AL,INFECTIO IN GRAVIDITATE ALIA DEFINITA,647.8,"Other specified infectious and parasitic diseases complicating pregnancy, childbirth, or the puerperium",4_digit_level,647.8,"Infective and parasitic conditions in the mother classifiable elsewhere but complicating pregnancy, childbirth and the puerperium, Other specified infective and parasitic diseases",unique_parent_match,0
6479X,INFECT IN GRAVID NUD,INFECTIO IN GRAVIDITATE NUD,647.9,"Unspecified infection or infestation complicating pregnancy, childbirth, or the puerperium",4_digit_level,647.9,"Infective and parasitic conditions in the mother classifiable elsewhere but complicating pregnancy, childbirth and the puerperium, Unspecified infection or infestation",unique_parent_match,0
648,COMPL GRAVID A CAUSA,"COMPL GRAVID,PARTUS,PUERP MB AL CAUSA",648,"Other current conditions in the mother classifiable elsewhere, but complicating pregnancy, childbirth, or the puerperium",4_digit_level,648,"Other current conditions in the mother classifiable elsewhere but complicating pregnancy, childbirth and the puerperium",full_match,0
6480A,DIAB MELL IN GRAVID,DIABETES MELLITUS IN GRAVIDITATE,648.0,"Diabetes mellitus complicating pregnancy, childbirth, or the puerperium",4_digit_level,648.0,"Other current conditions in the mother classifiable elsewhere but complicating pregnancy, childbirth and the puerperium, Diabetes mellitus",unique_parent_match,0
6481A,HYPERTHYR IN GRAVID,HYPERTHYREOSIS IN GRAVIDITATE,648.1,"Thyroid dysfunction complicating pregnancy, childbirth, or the puerperium",4_digit_level,648.1,"Other current conditions in the mother classifiable elsewhere but complicating pregnancy, childbirth and the puerperium, Thyroid dysfunction",parent_match,0
6481B,HYPOTHYR IN GRAVID,HYPOTHYREOSIS IN GRAVIDITATE,648.1,"Thyroid dysfunction complicating pregnancy, childbirth, or the puerperium",4_digit_level,648.1,"Other current conditions in the mother classifiable elsewhere but complicating pregnancy, childbirth and the puerperium, Thyroid dysfunction",parent_match,0
6481X,A MB GL TYR IN GRAVI,ALII MORBII GLANDULAE THYREOIDAE IN GRAVIDITATE,648.1,"Thyroid dysfunction complicating pregnancy, childbirth, or the puerperium",4_digit_level,648.1,"Other current conditions in the mother classifiable elsewhere but complicating pregnancy, childbirth and the puerperium, Thyroid dysfunction",parent_match,0
6482A,ANAEMIA IN GRAVIDIT,ANAEMIA IN GRAVIDITATE,648.2,"Anemia complicating pregnancy, childbirth, or the puerperium",4_digit_level,648.2,"Other current conditions in the mother classifiable elsewhere but complicating pregnancy, childbirth and the puerperium, Anaemia",unique_parent_match,0
6483A,ADDICT MEDIC IN GRAV,ADDICTIO MEDICAMENTORUM IN GRAVIDITATE,648.3,"Drug dependence complicating pregnancy, childbirth, or the puerperium",4_digit_level,648.3,"Other current conditions in the mother classifiable elsewhere but complicating pregnancy, childbirth and the puerperium, Drug dependence",unique_parent_match,0
6484A,ALCOHOLISM IN GRAVID,ALCOHOLISMUS IN GRAVIDITATE,648.4,"Mental disorders complicating pregnancy, childbirth, or the puerperium",4_digit_level,648.4,"Other current conditions in the mother classifiable elsewhere but complicating pregnancy, childbirth and the puerperium, Mental disorders",parent_match,0
6484X,MB MENTIS IN GRAVID,MORBUS MENTIS IN GRAVIDITATE,648.4,"Mental disorders complicating pregnancy, childbirth, or the puerperium",4_digit_level,648.4,"Other current conditions in the mother classifiable elsewhere but complicating pregnancy, childbirth and the puerperium, Mental disorders",parent_match,0
6485A,MALEF CARDVAS GRAVID,MALEFORMATIO CARDIOVASCULARIS CONGENITA IN GRAVID,648.5,"Congenital cardiovascular disorders complicating pregnancy, childbirth, or the puerperium",4_digit_level,648.5,"Other current conditions in the mother classifiable elsewhere but complicating pregnancy, childbirth and the puerperium, Congenital cardiovascular disorders",unique_parent_match,0
6486A,MB CARDVASC A GRAVID,MORBI CARDIOVASCULARES ALII  IN GRAVIDITATE,648.6,"Other cardiovascular diseases complicating pregnancy, childbirth, or the puerperium",4_digit_level,648.6,"Other current conditions in the mother classifiable elsewhere but complicating pregnancy, childbirth and the puerperium, Other cardiovascular diseases",unique_parent_match,0
6487A,MB MUSCSCEL GRAVIDIT,MORBUS SYSTEMATIS MUSCULOSCELETALIS IN GRAVIDITATE,648.7,"Bone and joint disorders of back, pelvis, and lower limbs of mother, complicating pregnancy, childbirth, or the puerperium",4_digit_level,648.7,"Other current conditions in the mother classifiable elsewhere but complicating pregnancy, childbirth and the puerperium, Bone and joint disorders of back, pelvis and lower limbs",unique_parent_match,0
6488A,EPÄNOR GLUKTOL GRAVI,EPÄNORMAALI GLUKOOSITOLERANSSI RASKAUDEN AIKANA,648.8,"Abnormal glucose tolerance of mother, complicating pregnancy, childbirth, or the puerperium",4_digit_level,648.8,"Other current conditions in the mother classifiable elsewhere but complicating pregnancy, childbirth and the puerperium, Abnormal glucose tolerance",unique_parent_match,0
6489X,MUU RASKAUSKOMPL,MUU RASKAUSKOMPLIKAATIO,648.9,"Other current conditions complicating pregnancy, childbirth, or the puerperium",4_digit_level,648.9,"Other current conditions in the mother classifiable elsewhere but complicating pregnancy, childbirth and the puerperium, Other current conditions classifiable elsewhere",unique_parent_match,0
650,PARTUS SINE COMPLIC,PARTUS SINE COMPLICATIONE,650,Normal delivery,4_digit_level,650,Delivery in a completely normal case,full_match,0
6500B,PARTUS SINE COMPLIC,PARTUS SINE COMPLICATIONE,650,Normal delivery,3_digit_level,650,Delivery in a completely normal case,grandparent_match,0
651,PLURIFOETATIO,PLURIFOETATIO,651,Multiple gestation,4_digit_level,651,Multiple gestation,full_match,0
6510A,"GEMINI,RASK AIK","GEMINI, RASKAUDEN AIKANA",651.0,Twin pregnancy,4_digit_level,651.0,"Multiple gestation, Twin pregnancy",parent_match,0
6510B,"GEMINI,SYNN AIK","GEMINI, SYNNYTYKSEN AIKANA",651.0,Twin pregnancy,4_digit_level,651.0,"Multiple gestation, Twin pregnancy",parent_match,0
6511A,"TRIGEMINI,RASK AIK","TRIGEMINI,RASKAUDEN AIKANA",651.1,Triplet pregnancy,4_digit_level,651.1,"Multiple gestation, Triplet pregnancy",parent_match,0
6511B,"TRIGEMINI,SYNN AIK","TRIGEMINI,SYNNYTYKSEN AIKANA",651.1,Triplet pregnancy,4_digit_level,651.1,"Multiple gestation, Triplet pregnancy",parent_match,0
6512A,"QUADRIGEMINI,RAS AIK","QUADRIGEMINI,RASKAUDEN AIKANA",651.2,Quadruplet pregnancy,4_digit_level,651.2,"Multiple gestation, Quadruplet pregnancy",parent_match,0
6512B,"QUADRIGEMINI,SYN AIK","QUADRIGEMINI,SYNNYTYKSEN AIKANA",651.2,Quadruplet pregnancy,4_digit_level,651.2,"Multiple gestation, Quadruplet pregnancy",parent_match,0
6518A,"PLURIFOET AL,RAS AIK","PLURIFOETATIO ALIA DEFINITA,RASKAUDEN AIKANA",651.8,Other specified multiple gestation,4_digit_level,651.8,"Multiple gestation, Other specified multiple gestation",parent_match,0
6518B,"PLURIFOET AL,SYN AIK","PLURIFOETATIO ALIA DEFINITA,SYNNYTYKSEN AIKANA",651.8,Other specified multiple gestation,4_digit_level,651.8,"Multiple gestation, Other specified multiple gestation",parent_match,0
6519A,"PLURIFOE NUD,RAS AIK","PLURIFOETATIO NUD,RASKAUDEN AIKANA",651.9,Unspecified multiple gestation,4_digit_level,651.9,"Multiple gestation, Unspecified multiple gestation",parent_match,0
6519B,"PLURIFOE NUD,SYN AIK","PLURIFOETATIO NUD,SYNNYTYKSEN AIKANA",651.9,Unspecified multiple gestation,4_digit_level,651.9,"Multiple gestation, Unspecified multiple gestation",parent_match,0
652,MALPOSIT/PRAES FOETU,MALPOSITIO ET MALPRAESENTATIO FOETUS,652,Malposition and malpresentation of fetus,4_digit_level,652,Malposition and malpresentation of foetus,full_match,0
6520A,"VAIH SIK AS,RASK AIK","VAIHTUVA SIKIÖN ASENTO,RASKAUDEN AIKANA",652.0,Unstable lie of fetus,4_digit_level,652.0,"Malposition and malpresentation of foetus, Unstable lie",parent_match,0
6520B,"VAIH SIK AS,SYNN AIK","VAIHTUVA SIKIÖN ASENTO,SYNNYTYKSEN AIKANA",652.0,Unstable lie of fetus,4_digit_level,652.0,"Malposition and malpresentation of foetus, Unstable lie",parent_match,0
6522A,"PRAES CLUN,RASK AIK","PRAESENTATIO CLUNIUM,RASKAUDEN AIKANA",652.2,Breech presentation without mention of version,4_digit_level,652.2,"Malposition and malpresentation of foetus, Breech presentation without mention of version",parent_match,0
6522B,"PRAES CLUN,SYNN AIK","PRAESENTATIO CLUNIUM,SYNNYTYKSEN AIKANA",652.2,Breech presentation without mention of version,4_digit_level,652.2,"Malposition and malpresentation of foetus, Breech presentation without mention of version",parent_match,0
6523A,"SIT TRANSV/OBL,RAS A","SITUS TRANSVERSUS ET OBLIQUUS,RASKAUDEN AIKANA",652.3,Transverse or oblique presentation of fetus,4_digit_level,652.3,"Malposition and malpresentation of foetus, Transverse or oblique presentation",parent_match,0
6523B,"SIT TRANSV/OBL,SYN A","SITUS TRANSVERSUS ET OBLIQUUS,SYNNYTYKSEN AIKANA",652.3,Transverse or oblique presentation of fetus,4_digit_level,652.3,"Malposition and malpresentation of foetus, Transverse or oblique presentation",parent_match,0
6524A,"HABIT DEFL,RAS AIK","HABITUS DEFLEXIONIS,RASKAUDEN AIKANA",652.4,Face or brow presentation of fetus,4_digit_level,652.4,"Malposition and malpresentation of foetus, Face or brow presentation",parent_match,0
6524B,"HABIT DEFL,SYN AIK","HABITUS DEFLEXIONIS,SYNNYTYKSEN AIKANA",652.4,Face or brow presentation of fetus,4_digit_level,652.4,"Malposition and malpresentation of foetus, Face or brow presentation",parent_match,0
6525A,"KORK SIK PÄ,RASK AIK","KORKEALLE JÄÄNYT TARJOUTUVA SIKIÖN PÄÄ,RASK AIKANA",652.5,High fetal head at term,4_digit_level,652.5,"Malposition and malpresentation of foetus, High head at term",parent_match,0
6525B,"KORK SIK PÄ,SYNN AIK","KORKEALLE JÄÄNYT TARJOUTUVA SIKIÖN PÄÄ,SYNN AIKANA",652.5,High fetal head at term,4_digit_level,652.5,"Malposition and malpresentation of foetus, High head at term",parent_match,0
6526A,"MONISIK VIRTAR,RAS A","MONISIKIÖN YHT ESIINT VIRHETARJ,RASKAUDEN AIKANA",652.6,Multiple gestation with malpresentation of one fetus or more,4_digit_level,652.6,"Malposition and malpresentation of foetus, Multiple gestation with malpresentation of one foetus or more",parent_match,0
6526B,"MONISIK VIRTAR,SYN A","MONISIKIÖN YHT ESIINT VIRHETARJ,SYNNYTYKSEN AIKANA",652.6,Multiple gestation with malpresentation of one fetus or more,4_digit_level,652.6,"Malposition and malpresentation of foetus, Multiple gestation with malpresentation of one foetus or more",parent_match,0
6527A,"SIK KÄSIV PROL,RAS A","SIKIÖN KÄSIVARREN ESIINLUISKAHDUS,RASKAUDEN AIKANA",652.7,Prolapsed arm of fetus,4_digit_level,652.7,"Malposition and malpresentation of foetus, Prolapsed arm",parent_match,0
6527B,"SIK KÄSIV PROL,SYN A","SIKIÖN KÄSIVARREN ESIINLUISKAHDUS,SYNNYTYKSEN AIK",652.7,Prolapsed arm of fetus,4_digit_level,652.7,"Malposition and malpresentation of foetus, Prolapsed arm",parent_match,0
6528A,"MUU VIRHTARJ,RAS AIK","MUUT VIRHEASENNOT JA -TARJONNAT, RASKAUDEN AIKANA",652.8,Other specified malposition or malpresentation of fetus,4_digit_level,652.8,"Malposition and malpresentation of foetus, Other specified malposition or malpresentation",parent_match,0
6528B,"MUU VIRHTARJ,SYN AIK","MUUT VIRHEASENNOT JA -TARJONNAT, SYNNYTYKSEN AIKANA",652.8,Other specified malposition or malpresentation of fetus,4_digit_level,652.8,"Malposition and malpresentation of foetus, Other specified malposition or malpresentation",parent_match,0
6529A,"VIRHTARJ NUD,RAS AIK","VIRHEASENNOT JA -TARJONNAT NUD,RASKAUDEN AIKANA",652.9,Unspecified malposition or malpresentation of fetus,4_digit_level,652.9,"Malposition and malpresentation of foetus, Unspecified malposition or malpresentation",parent_match,0
6529B,"VIRHTARJ NUD,SYN AIK","VIRHEASENNOT JA -TARJONNAT NUD,SYNNYTYKSEN AIKANA",652.9,Unspecified malposition or malpresentation of fetus,4_digit_level,652.9,"Malposition and malpresentation of foetus, Unspecified malposition or malpresentation",parent_match,0
653,PELVIS ANGUSTA/DISPR,PELVIS ANGUSTA ET DISPROPORTIO FOETOPELVICA,653,"Disproportion in pregnancy, labor, and delivery",4_digit_level,653,Disproportion,full_match,0
6530A,"ANOM MAJ PELV,RAS AI","ANOMALIA MAJORIS PELVIS,RASKAUDEN AIKANA",653.0,"Major abnormality of bony pelvis, not further specified, in pregnancy, labor, and delivery",4_digit_level,653.0,"Disproportion, Major abnormality of bony pelvis, not further specified",parent_match,0
6530B,"ANOM MAJ PELV,SYN AI","ANOMALIA MAJORIS PELVIS,SYNNYTYKSEN AIKANA",653.0,"Major abnormality of bony pelvis, not further specified, in pregnancy, labor, and delivery",4_digit_level,653.0,"Disproportion, Major abnormality of bony pelvis, not further specified",parent_match,0
6531A,"PELVIS ANGUS,RAS AIK","PELVIS ANGUSTA,RASKAUDEN AIKANA",653.1,"Generally contracted pelvis in pregnancy, labor, and delivery",4_digit_level,653.1,"Disproportion, Generally contracted pelvis",parent_match,0
6531B,"PELVIS ANGUS,SYN AIK","PELVIS ANGUSTA,SYNNYTYKSEN AIKANA",653.1,"Generally contracted pelvis in pregnancy, labor, and delivery",4_digit_level,653.1,"Disproportion, Generally contracted pelvis",parent_match,0
6532A,"INLET CONTR,RASK AIK","PELVIS ANGUSTA, ANOM APERT SUPER,RASKAUDEN AIKANA",653.2,"Inlet contraction of pelvis in pregnancy, labor, and delivery",4_digit_level,653.2,"Disproportion, Inlet contraction of pelvis",parent_match,0
